matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,2,12,2,2,5,8,31,9,3,2,7,3,3
2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,5,3,1,2,4,1,7,1,0,4,0,3
5,1,2,1,0,0,0,2,1,1,0,2,0,0
6,0,0,0,0,0,2,4,4,1,0,1,0,0
7,2,2,0,0,1,1,1,1,0,1,3,1,1
8,0,3,0,0,1,3,8,6,1,0,0,2,1
9,7,1,0,0,3,1,0,11,0,1,10,3,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,4,0,0,0,0,0,1
13,0,0,0,0,0,0,2,0,0,0,0,0,0
14,0,0,0,0,0,0,6,0,2,0,0,0,0
15,0,1,1,1,0,1,3,0,2,0,0,0,1
16,0,0,0,0,0,0,1,0,0,0,1,0,0
18,3,5,1,2,1,4,17,5,6,2,4,3,4
21,0,1,0,0,1,1,2,1,0,0,0,0,0
22,2,1,1,0,3,0,2,3,0,0,1,1,0
23,2,2,3,1,6,5,2,10,0,0,5,0,1
24,1,2,2,1,2,1,0,1,0,0,0,0,1
25,0,1,0,0,0,1,0,2,0,0,0,0,0
26,0,0,0,0,1,0,2,0,0,0,0,0,0
27,0,0,0,0,1,2,3,0,0,0,1,0,0
28,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,1,2,0,2,0,0,0,0,0
31,0,0,0,0,1,0,2,0,1,0,0,0,0
32,0,0,0,0,0,2,1,0,0,0,1,0,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,6,3,2,3,6,3,4,2,0,5,0,4
35,2,0,0,0,0,1,3,0,1,0,1,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,1,0,0,2,0,0,0,0,0,0,0,0
38,0,0,0,0,1,1,1,3,0,0,1,1,1
39,1,0,0,0,3,3,15,0,0,0,0,1,0
42,0,0,0,0,1,1,1,3,0,1,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0,0,1,1,0,0,0,1,0,0,0,0,1
47,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1,2,1,0,0,2,1,1,1,0,3,0,1
50,0,0,0,0,0,0,1,0,0,0,0,0,0
52,1,0,0,0,0,0,2,0,1,0,1,0,0
54,0,0,0,0,0,0,0,18,0,0,0,0,0
55,0,0,0,0,0,0,0,3,0,0,3,0,0
56,0,2,0,0,1,1,3,0,1,1,0,0,0
58,0,6,0,0,2,16,30,1,3,2,1,4,0
59,3,0,0,0,0,1,2,5,1,0,1,1,1
60,2,2,1,0,2,1,0,3,1,1,6,0,1
61,2,0,0,0,1,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,2,1,0,0,1,1,0
65,0,1,3,0,0,0,0,2,0,0,1,0,0
67,0,2,0,0,0,1,2,0,2,0,1,4,0
72,0,0,0,0,0,0,1,0,0,0,0,0,0
73,0,0,0,0,1,0,2,0,0,0,0,0,0
74,0,0,0,0,0,0,1,0,0,0,0,0,0
77,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,0,1,0,0,0,2,0,0,0,0,0,0
80,0,1,0,0,0,0,16,0,1,0,0,0,2
81,0,1,0,0,0,0,3,0,0,0,0,0,0
82,7,2,1,0,0,0,1,4,1,3,14,1,1
86,0,0,0,0,0,1,0,2,0,1,0,0,0
90,0,0,0,0,0,0,1,0,1,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,0,1,0,0,1,1,2,1,0,1,2,1
96,0,0,0,0,0,0,1,0,0,0,0,1,0
98,1,0,0,0,1,1,8,1,3,0,2,6,2
99,0,0,0,0,0,0,2,0,0,0,0,0,0
100,0,1,0,0,3,0,7,1,0,0,0,0,0
103,0,0,0,0,0,0,1,0,0,0,0,0,0
104,0,0,0,0,1,0,2,2,0,0,0,0,0
105,0,0,1,1,0,0,0,1,0,0,0,0,1
106,0,0,0,0,1,0,0,1,0,0,0,0,0
111,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,1,0,0,0
117,0,0,0,0,0,0,0,3,0,0,0,0,0
118,0,1,0,0,1,0,0,4,1,1,3,1,0
120,0,2,1,1,0,0,0,7,1,0,1,0,1
121,0,0,0,0,0,0,0,3,0,0,0,0,0
123,0,0,0,0,0,0,0,2,0,0,0,0,0
126,0,0,0,0,2,0,0,8,0,0,0,0,0
131,0,0,0,0,0,1,1,0,0,0,0,0,0
133,1,1,2,0,1,0,1,0,0,0,1,2,0
134,0,0,0,0,1,0,0,0,0,0,0,0,0
135,0,0,0,1,0,0,1,0,0,0,0,1,0
138,0,0,0,0,0,1,0,0,0,0,0,0,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,1,0,3,0,0,0,1,0,0
142,0,1,0,0,0,0,1,0,0,0,0,0,0
143,0,1,0,0,1,1,2,0,0,0,0,0,0
144,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,0,0,0,0,0,0,0,1,0
151,0,0,0,0,1,0,1,0,0,0,0,0,0
155,0,1,0,0,0,0,7,1,1,0,0,1,1
156,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,0,0,0,0,0,2,0,0,0,0,0,0
