steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie
1,0,0,0,0,0,1,0,0,0
8,0,0,0,0,0,0,0,1,1
25,0,0,0,0,1,0,0,0,0
34,1,0,0,0,0,0,0,0,0
36,2,0,0,0,0,0,0,0,0
47,0,1,1,0,0,0,0,0,0
95,0,0,0,1,2,0,0,0,0
227,0,0,0,0,0,0,0,0,1
233,0,0,0,0,1,0,1,0,0
239,0,0,0,0,0,1,0,0,0
265,0,0,0,0,1,0,0,0,0
266,0,0,0,0,1,0,0,0,0
273,0,0,0,0,1,0,0,0,0
