gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Ecologie,Économie
1,0,0,0,0,1,0,0,0
63,0,0,0,0,0,0,0,1
91,0,1,0,0,0,0,0,0
111,1,0,0,0,0,0,1,0
125,0,0,0,0,0,0,1,0
126,0,0,1,0,0,0,1,0
143,0,0,0,0,0,0,1,0
166,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,1,0
214,0,0,0,0,0,0,1,0
216,0,0,0,0,0,0,1,0
244,0,0,0,0,1,0,0,1
457,0,0,0,0,0,0,1,0
503,1,0,0,0,0,0,0,0
528,0,0,0,1,0,0,0,0
581,0,0,0,0,0,0,1,0
583,0,0,0,1,0,1,0,0
