steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Technologie,Ecologie,Économie
8,0,0,0,0,0,0,1,0
11,1,0,0,0,0,0,0,0
16,0,0,0,0,1,0,0,0
30,1,0,0,0,0,0,0,0
34,1,0,1,1,0,0,1,0
36,2,0,0,0,0,0,1,0
48,0,0,0,1,1,0,0,0
95,0,0,1,1,0,0,0,0
181,0,0,0,1,0,0,0,1
236,0,0,0,1,0,0,0,1
238,0,1,0,0,0,1,0,0
267,0,0,0,0,1,0,0,1
