matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,3,13,2,3,5,10,38,10,4,5,8,4,3
2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,6,3,1,2,4,1,7,1,1,5,0,3
5,1,4,1,0,0,0,2,1,1,0,2,0,0
6,0,0,0,0,0,2,6,6,1,0,1,1,0
7,2,2,0,0,1,1,1,1,0,2,4,1,1
8,1,5,0,0,1,3,10,10,1,0,1,3,1
9,11,1,1,0,3,1,0,15,0,1,17,3,2
10,0,0,0,0,1,0,1,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,1,1,0,0
12,0,1,0,0,0,0,4,0,0,0,0,0,1
13,0,0,0,0,0,0,2,0,0,1,1,0,0
14,0,0,0,0,0,0,9,0,3,0,0,1,0
15,0,1,1,1,0,1,3,0,2,0,0,0,1
16,0,0,0,0,0,0,1,0,0,0,1,0,0
18,5,8,1,2,1,5,24,7,6,2,4,5,4
21,0,1,0,0,1,1,2,1,0,0,0,0,0
22,2,1,1,0,4,0,2,4,0,0,1,1,0
23,3,3,4,1,7,5,2,11,0,0,8,0,1
24,1,2,2,1,2,1,0,2,0,0,0,0,1
25,0,1,0,0,0,1,0,2,0,0,0,0,0
26,0,0,0,0,1,0,2,0,0,0,0,0,0
27,0,0,0,0,1,2,3,0,0,0,1,0,0
28,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,1,2,0,3,0,0,0,0,0
31,0,0,0,0,1,0,2,0,1,0,0,0,0
32,0,0,0,0,0,2,1,0,0,0,1,0,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,6,3,2,4,6,3,6,2,1,5,1,4
35,2,0,0,0,0,1,3,0,1,1,1,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,1,0,0,2,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,2,3,0,0,1,1,1
39,1,0,0,0,3,4,17,0,0,0,0,1,0
42,0,1,0,0,2,1,2,4,0,1,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0,0,1,1,0,0,0,1,0,0,0,0,1
47,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1,2,1,0,0,3,1,1,1,0,3,0,1
50,0,0,0,0,0,0,1,0,0,0,0,0,0
52,1,0,0,0,0,0,2,0,1,0,1,0,0
54,0,0,0,0,0,0,0,21,0,0,0,0,0
55,0,0,0,0,0,0,0,3,0,0,3,0,0
