steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
21,0,1,0,0,0,0,0,0,0,0
34,0,0,0,0,1,0,0,0,0,0
35,0,0,1,0,0,0,1,0,0,0
36,1,0,0,0,0,0,0,0,0,0
54,0,0,0,1,0,0,0,0,0,0
232,0,1,0,0,0,0,1,0,0,0
233,0,0,0,2,0,2,0,0,1,1
238,0,1,0,0,0,0,1,0,0,0
244,0,1,0,0,0,0,1,0,0,0
250,0,0,0,0,0,0,0,1,0,0
