gefahr_id,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Technologie,Umwelt,Wirtschaft,Politik,demografischer Wandel
23,0,0,0,0,0,1,0,0,0
26,0,1,1,2,0,0,0,0,1
42,0,0,0,0,0,1,0,0,0
58,1,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,1,0
93,0,0,1,1,0,0,0,0,0
106,0,0,2,1,0,0,0,0,0
111,0,0,0,2,0,0,0,0,0
125,0,0,0,0,0,1,0,0,0
126,0,0,0,1,1,2,0,0,0
145,0,0,0,1,0,0,0,0,0
172,1,0,0,0,0,0,0,0,0
246,0,0,0,1,1,0,0,0,0
256,0,0,0,0,0,1,0,0,0
310,0,0,0,0,0,1,0,0,0
348,0,0,0,0,1,0,1,0,0
379,0,0,0,1,0,0,0,0,0
417,0,0,0,0,0,1,0,0,0
503,1,0,0,0,0,0,0,0,0
525,1,0,0,0,0,0,0,0,0
557,0,0,0,0,0,1,0,0,0
593,0,0,0,1,0,0,0,0,0
594,0,0,0,1,0,0,0,0,0
605,0,0,1,1,1,0,0,0,0
607,0,0,0,0,1,0,0,0,0
610,0,0,0,0,0,1,0,0,0
