matrix_id,Climate change,Technological innovations and scientific advances,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy
1,0,1,1,1,1,1,0,1,0,1
3,1,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,1,0,0,1,0
18,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,1,0,0,0,0
56,0,0,0,0,0,1,0,0,0,0
82,0,0,0,0,0,1,1,0,1,0
