gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Tecnologia,Ecologia,Politica
23,0,0,0,0,0,0,1,0
26,1,0,0,1,0,0,0,0
35,1,0,0,0,0,0,0,0
42,0,0,0,0,0,0,1,0
55,0,0,0,0,0,0,1,0
58,0,1,0,0,0,0,0,0
86,1,1,0,0,0,0,0,1
87,0,0,0,0,1,0,0,0
93,1,0,0,0,0,0,0,0
106,0,0,1,0,0,0,0,0
111,0,0,0,2,0,0,0,0
121,1,0,0,0,0,0,0,0
126,0,0,0,1,0,0,1,0
145,0,0,0,1,0,0,0,0
172,0,1,0,0,0,0,0,0
241,0,0,1,0,0,0,0,0
256,0,0,0,0,0,0,1,0
379,0,0,0,1,0,0,0,0
503,0,1,0,0,0,0,0,0
525,0,1,0,0,0,0,0,0
605,0,0,1,2,0,1,0,0
610,0,0,0,0,0,0,1,0
