matrix_id,Technological innovations and scientific advances,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Technology,Ecology,Economy,demographic change
1,0,0,0,1,0,0,0,0,0
8,0,0,0,1,1,0,0,0,0
10,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,1,0,0,0
16,0,0,0,1,0,0,0,0,0
18,0,0,0,2,0,0,0,0,0
21,0,0,0,2,0,1,0,0,0
34,1,0,0,0,0,0,0,0,0
39,0,0,2,1,0,0,0,0,0
58,0,0,1,1,0,0,0,0,0
61,0,0,0,0,0,0,1,0,0
67,0,0,0,0,0,0,1,0,0
93,0,0,0,0,0,1,0,0,0
98,0,0,0,0,0,0,0,0,1
120,0,1,0,0,0,0,0,0,0
