gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt
1,0,0,1,1,0,0,0
19,0,0,0,1,0,0,0
26,0,0,0,0,0,1,0
42,0,0,0,0,1,0,0
55,0,0,0,0,1,0,0
56,0,0,0,0,0,0,1
63,0,1,0,0,0,0,0
86,0,0,1,0,0,0,0
93,0,0,1,0,0,0,0
102,0,0,0,0,0,0,1
111,1,0,0,0,0,0,0
125,0,1,0,0,0,0,0
126,0,1,0,0,0,0,0
165,0,0,0,0,0,0,1
167,0,0,1,0,0,0,1
239,0,0,0,1,0,0,0
244,0,0,0,1,0,0,0
246,0,0,1,0,0,0,1
516,0,0,1,0,0,0,0
528,0,0,1,0,0,0,0
577,0,0,0,0,0,0,1
