matrix_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,3,16,2,3,6,11,48,12,5,7,9,7,3
2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1,6,3,1,2,5,3,11,1,1,9,1,3
5,3,4,1,0,2,0,2,3,1,0,6,1,0
6,2,0,0,0,0,3,11,14,2,0,8,2,0
7,2,2,0,0,1,1,1,2,0,2,5,1,1
8,3,6,1,0,4,4,13,22,3,0,5,8,1
9,11,2,1,0,3,3,2,26,1,2,29,6,2
10,0,0,0,0,3,0,1,0,0,0,1,1,0
11,1,2,0,0,0,0,1,0,2,2,4,5,0
12,0,2,0,0,0,0,5,0,0,0,0,0,2
13,0,0,0,0,0,0,2,1,0,1,1,0,0
14,0,0,0,0,0,1,10,0,4,0,0,1,0
15,0,1,1,1,0,1,4,0,2,0,0,0,1
16,0,0,0,0,0,0,2,0,0,0,1,0,0
18,12,23,3,4,2,18,62,23,23,8,25,25,6
21,0,1,0,0,1,1,3,2,0,0,0,0,0
22,2,1,2,0,4,1,3,4,0,0,1,1,0
23,5,4,4,1,7,5,4,13,0,0,13,1,1
24,1,2,2,1,2,1,0,4,0,0,1,2,1
25,0,1,0,0,0,1,0,2,0,0,1,0,0
26,0,0,0,0,1,0,2,0,0,0,0,0,0
27,0,0,0,0,1,2,3,1,0,0,2,0,0
28,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,1,2,0,5,0,0,0,0,0
31,0,0,0,0,1,0,2,0,1,0,0,0,0
32,0,0,0,0,0,2,1,0,0,0,2,0,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,7,3,2,4,8,4,7,2,1,8,3,5
35,2,0,0,0,1,1,4,0,1,1,1,0,0
36,0,0,0,0,0,0,0,0,0,0,2,1,0
37,0,1,0,0,2,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,3,5,0,0,1,1,1
39,1,0,0,0,3,4,18,0,0,0,0,1,0
42,0,1,0,0,3,1,4,8,0,1,0,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0,0,1,1,0,0,0,1,0,0,0,0,1
47,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1,3,1,0,1,3,1,2,1,0,6,2,1
49,0,0,0,0,0,0,1,0,1,0,1,0,0
50,0,0,0,0,0,0,2,1,0,0,1,0,0
52,1,0,0,0,0,0,2,0,1,0,1,0,0
54,0,0,0,0,2,0,1,25,1,0,0,1,0
55,0,0,0,0,0,0,0,3,0,0,3,0,0
56,0,2,0,0,1,1,3,4,1,1,1,0,0
58,0,7,0,0,2,17,34,2,3,3,2,5,0
59,3,0,0,0,0,1,2,5,1,0,1,1,1
60,8,2,1,0,2,2,3,9,1,1,18,7,1
61,2,0,0,0,1,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,2,1,0,0,1,1,0
65,0,1,3,0,0,0,0,2,0,1,1,0,0
67,0,2,0,0,0,1,2,0,2,0,2,5,0
72,0,0,0,0,0,0,2,0,0,0,0,0,0
73,0,0,0,0,1,0,4,0,0,0,0,0,0
74,0,0,0,0,0,0,1,0,0,0,0,0,0
77,0,0,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,0,1,0,0,0,2,1,0,0,0,0,0
