steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,0,1,0,0,0,0,0,0,0,3,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0,5,0,0,1,0,3,4,1,2,10,1,2
10,0,0,0,0,0,0,0,1,0,0,1,0,0
11,3,0,0,0,0,1,0,3,0,0,3,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,1,0,0,3,0,0,0,0,0
21,0,2,0,0,0,0,0,0,0,1,1,0,0
23,1,0,0,0,1,0,0,2,0,0,1,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,0,0,0,1,2,1,0,0,0,0,0
27,0,0,0,0,0,0,2,0,0,0,0,0,0
30,2,0,0,0,0,0,1,0,0,0,2,0,0
31,1,1,0,0,1,0,0,2,0,0,1,0,0
34,8,4,0,0,3,1,3,2,0,0,5,0,0
35,0,3,0,0,0,2,1,1,0,1,1,0,1
36,14,0,2,0,1,0,0,0,1,0,8,2,0
42,0,0,0,0,0,0,1,1,0,0,0,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,0,0,0,0,0,0,3,0,1,1,0,0
48,0,0,0,0,0,0,1,3,0,0,0,0,0
51,0,2,0,0,0,0,8,0,0,0,0,3,0
54,0,0,0,0,0,0,1,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,2,0,0,0,0,1,0
59,0,1,1,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,0,3,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,1,0,0,0
73,1,0,0,0,0,0,0,1,0,0,1,0,0
75,2,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,1,1,1,0,1,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,1,0,0
83,0,1,1,0,0,0,0,0,0,0,1,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0,0
86,2,0,0,0,0,0,0,0,0,0,3,0,0
91,0,0,0,0,0,0,0,0,0,0,1,0,1
92,1,0,0,0,0,0,1,1,0,0,0,0,0
93,0,0,0,0,0,0,2,0,0,0,0,0,0
95,0,2,0,0,0,4,23,0,5,1,0,3,1
99,0,0,0,0,0,0,0,1,0,0,0,0,0
102,1,0,0,0,0,0,0,2,0,0,0,0,0
108,0,0,0,0,0,0,0,1,0,0,0,0,0
113,0,0,0,0,0,0,0,1,0,0,1,0,0
115,0,2,0,0,0,0,0,2,1,0,0,1,0
116,1,0,0,0,0,0,0,1,0,0,2,0,0
118,0,0,0,0,0,0,0,1,1,0,0,0,0
120,0,0,0,0,0,0,0,1,1,0,0,0,0
121,1,1,0,0,1,0,0,3,0,0,1,0,0
123,0,0,0,0,0,1,1,0,0,0,0,0,0
125,0,3,0,0,0,0,0,0,0,0,0,0,0
126,0,0,1,0,0,0,0,0,0,0,1,0,0
127,0,0,0,0,0,1,0,0,1,0,0,0,0
128,0,2,0,0,0,1,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,4,0,0,0,0,0
134,1,0,0,0,0,0,0,0,0,0,1,0,0
138,1,0,0,0,0,0,0,0,0,0,1,0,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
140,0,2,0,0,1,1,2,0,1,0,0,0,1
142,0,1,0,0,0,0,1,0,0,0,0,0,0
143,0,1,0,2,0,1,1,0,1,0,0,0,0
147,0,1,0,0,0,2,4,0,0,0,0,0,0
148,0,0,0,0,0,0,1,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,1,0,0
164,0,0,0,0,0,0,0,2,0,0,0,0,0
165,2,0,0,0,0,0,0,0,0,0,1,0,0
174,0,0,0,0,0,0,1,0,1,0,0,0,0
178,2,0,0,0,0,0,1,1,0,0,5,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,1,0,2,0,0,1,0,3,0
187,0,0,0,0,0,0,0,0,0,0,0,1,0
190,0,0,0,0,0,0,0,2,0,0,1,0,0
191,0,0,0,0,0,0,0,0,0,0,0,1,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0
199,0,0,0,0,0,0,0,3,0,1,0,0,0
201,0,0,0,0,0,0,1,0,0,0,0,0,0
202,1,0,0,0,0,0,0,0,0,0,1,0,0
205,0,0,0,0,0,0,1,0,0,0,0,0,0
211,1,0,0,0,0,1,7,0,0,0,0,1,0
219,0,0,0,0,0,0,0,1,0,0,0,0,0
220,1,1,1,0,0,0,0,0,0,0,3,0,1
222,0,0,0,0,0,0,1,0,0,0,1,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,2
227,1,1,0,0,0,0,0,0,0,0,2,0,0
231,0,0,0,0,0,0,1,0,0,0,0,0,0
232,0,2,0,0,0,1,2,5,1,2,0,0,0
233,0,0,0,0,0,0,8,0,3,0,0,2,1
234,0,2,3,0,0,1,0,0,2,0,8,0,0
235,0,1,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,1,1,0,0,0,1,0
237,0,0,0,0,0,0,0,1,0,0,0,0,0
238,0,5,0,0,0,0,0,0,0,5,0,0,0
239,0,0,0,0,1,0,1,2,0,0,0,0,0
241,0,0,0,0,0,0,1,0,1,0,0,0,0
244,0,1,0,0,1,1,1,4,1,2,0,0,0
247,0,0,0,0,0,0,0,0,0,0,1,0,0
250,0,0,0,0,0,0,0,0,0,0,1,0,0
251,0,1,0,1,0,0,0,0,0,1,1,0,1
252,0,0,0,0,0,1,1,0,0,0,0,0,0
257,0,0,0,0,0,0,2,5,0,0,1,0,0
259,0,0,0,0,0,0,0,0,0,0,3,1,0
263,0,2,0,0,0,0,1,6,1,0,0,1,0
264,0,1,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0,0
266,0,0,0,0,0,0,1,0,0,0,0,0,0
267,0,0,0,0,2,0,0,8,0,0,1,2,0
273,0,0,0,0,0,0,5,0,0,0,0,0,0
274,0,0,1,0,0,0,0,0,1,0,1,0,0
276,1,0,0,0,0,0,1,0,0,0,2,0,0
277,0,1,0,0,0,0,6,0,0,0,0,0,0
281,0,0,0,0,0,0,0,1,0,0,0,0,0
282,1,0,0,0,0,0,0,0,0,0,1,1,0
284,0,0,0,0,0,0,0,1,0,0,0,0,0
285,0,0,0,0,0,0,0,1,0,0,1,0,0
286,0,0,0,0,0,0,0,1,0,0,0,0,0
287,0,1,0,0,0,0,1,0,1,0,0,1,0
289,0,1,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,1,0,0
291,0,0,0,0,0,0,0,1,0,0,0,0,0
293,1,0,0,0,1,0,0,1,0,0,0,0,0
