matrix_id,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Ecologie,Économie
3,1,0,0,0,0,0,0
5,0,0,0,0,1,0,0
6,0,0,0,0,1,0,0
8,0,0,0,0,2,0,0
9,0,0,0,0,0,0,1
18,0,0,0,1,1,0,0
23,0,0,0,0,1,0,0
34,1,0,0,0,0,0,0
54,0,0,0,0,1,0,0
58,0,0,1,0,0,0,0
60,0,0,0,0,1,0,0
65,0,0,0,0,1,0,0
73,0,0,0,1,0,0,0
133,0,1,0,0,0,1,0
