matrix_id,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Ecologia,Economia
3,1,0,0,0,0,0,0
5,0,0,0,0,1,0,0
6,0,0,0,0,1,0,0
8,0,0,0,0,2,0,0
9,0,0,0,0,0,0,1
18,0,0,0,1,1,0,0
23,0,0,0,0,1,0,0
34,1,0,0,0,0,0,0
54,0,0,0,0,1,0,0
58,0,0,1,0,0,0,0
60,0,0,0,0,1,0,0
65,0,0,0,0,1,0,0
73,0,0,0,1,0,0,0
133,0,1,0,0,0,1,0
