gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica,cambiamento demografico
1,4,2,0,0,13,3,6,33,1,0,2,2,2,0
2,1,2,0,0,2,0,0,1,0,0,0,1,0,0
4,0,0,0,1,0,0,2,2,0,0,0,0,0,0
5,0,0,0,0,0,1,1,1,0,0,1,1,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1,1,0,0,0,0,0,1,0,0,1,1,0,0
8,0,0,0,0,0,0,0,2,0,0,1,0,0,0
9,0,0,0,0,2,1,4,8,0,0,1,1,1,0
10,0,0,0,0,0,0,1,4,0,0,3,0,0,0
14,0,0,0,0,0,0,0,2,0,0,0,0,0,0
18,1,1,0,0,1,0,0,5,0,0,0,0,0,0
19,1,2,1,0,3,2,4,26,0,2,4,1,0,0
20,0,1,0,0,0,1,3,2,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,5,0,0,0
26,3,4,0,0,21,14,16,38,4,4,4,5,2,1
28,1,1,0,0,0,0,0,2,0,0,0,0,0,0
31,0,0,0,0,0,0,0,3,0,0,0,0,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2,0,1,0,0,0,0,1,0,0,3,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,0,1,0,0,0,0,0,1,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,5,0,0,0
43,0,1,0,0,0,0,1,0,0,0,2,0,0,0
45,0,4,0,0,0,0,5,0,0,1,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,0,0,0,1,0,0,0,0,0,1,0,0,0
49,0,0,0,0,0,0,3,0,1,0,0,0,0,0
51,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,0,0,1,0,0,0,0,0,0,0,1,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,0,2,0,0,0,0,1,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0,0,0
61,0,0,0,0,1,0,0,0,0,0,1,0,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,2,0,3,0,0,2,1,23,1,0,3,2,1,0
66,0,0,0,0,0,1,4,0,0,0,0,0,1,0
69,0,1,0,0,0,0,2,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,0,0,0,1,0,0,2,0,0,0
79,0,0,0,0,0,1,7,0,0,0,0,0,0,0
80,1,0,0,0,0,0,4,0,0,0,0,1,2,0
81,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,6,1,0,0,3,0,3,9,1,0,4,4,2,0
87,2,1,0,0,5,1,0,9,1,0,2,0,0,0
88,1,0,0,0,1,0,1,7,1,0,1,0,0,0
89,1,1,0,0,1,0,2,2,1,0,0,1,0,0
90,0,0,0,0,2,0,3,0,0,0,1,0,1,0
91,2,7,10,2,0,4,2,1,3,0,18,8,7,0
92,0,0,0,0,0,0,2,0,0,0,0,0,0,0
93,8,9,3,2,13,5,17,35,4,3,7,3,4,0
94,0,0,0,0,1,1,0,10,0,0,1,0,1,0
