gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,3,2,0,0,11,3,5,30,1,0,2,2,2
2,1,2,0,0,2,0,0,1,0,0,0,1,0
4,0,0,0,1,0,0,2,2,0,0,0,0,0
5,0,0,0,0,0,0,1,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,1,0,0,0,0,0,1,0,0,0,1,0
8,0,0,0,0,0,0,0,2,0,0,1,0,0
9,0,0,0,0,2,0,4,8,0,0,1,1,1
10,0,0,0,0,0,0,1,3,0,0,2,0,0
14,0,0,0,0,0,0,0,2,0,0,0,0,0
18,1,1,0,0,1,0,0,4,0,0,0,0,0
19,1,2,1,0,2,2,3,25,0,1,4,1,0
20,0,1,0,0,0,1,2,2,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,3,0,0
26,3,4,0,0,18,14,15,34,4,4,3,5,2
28,1,1,0,0,0,0,0,2,0,0,0,0,0
31,0,0,0,0,0,0,0,3,0,0,0,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0
35,2,0,1,0,0,0,0,1,0,0,3,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,1,0,0
39,0,0,1,0,0,0,0,0,1,0,1,0,0
41,0,0,0,0,0,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0,1,0,0,0,0,1,0,0,0,2,0,0
45,0,2,0,0,0,0,4,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,0,0,0
48,3,0,0,0,1,0,0,0,0,0,1,0,0
49,0,0,0,0,0,0,2,0,1,0,0,0,0
55,0,0,1,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,0
58,0,2,0,0,0,0,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0,0
61,0,0,0,0,1,0,0,0,0,0,1,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0,0
63,2,0,3,0,0,1,0,23,1,0,3,2,1
66,0,0,0,0,0,1,4,0,0,0,0,0,1
69,0,1,0,0,0,0,2,0,0,0,0,0,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0
78,0,0,0,0,0,0,0,1,0,0,1,0,0
79,0,0,0,0,0,1,6,0,0,0,0,0,0
80,1,0,0,0,0,0,4,0,0,0,0,1,2
81,0,0,0,0,0,1,0,0,0,0,0,0,0
86,5,1,0,0,3,0,3,9,1,0,4,2,2
87,2,1,0,0,4,1,0,9,1,0,2,0,0
88,1,0,0,0,1,0,0,7,1,0,1,0,0
89,1,1,0,0,1,0,1,2,0,0,0,1,0
90,0,0,0,0,2,0,3,0,0,0,1,0,1
91,2,7,10,2,0,3,2,1,3,0,15,7,6
92,0,0,0,0,0,0,2,0,0,0,0,0,0
93,7,9,3,2,12,5,15,35,3,3,6,3,4
94,0,0,0,0,1,1,0,9,0,0,1,0,1
95,1,0,0,0,1,0,0,1,0,0,0,0,0
96,0,2,0,0,0,0,0,0,0,0,1,0,0
97,0,0,0,0,0,0,0,1,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0
99,16,2,0,0,3,1,1,15,0,1,7,1,1
100,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,1,0,0,1,0,1,0,0,0,1,1,1
102,2,3,1,0,0,4,6,0,1,1,11,3,2
103,0,1,0,0,0,3,1,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0
106,0,1,0,1,3,0,6,6,0,0,0,1,0
107,0,0,0,0,2,0,0,2,0,0,0,0,0
108,0,0,0,0,0,0,1,0,0,0,0,0,0
109,3,6,1,0,1,2,2,0,0,1,4,1,1
111,19,8,2,1,3,5,16,4,2,2,14,2,1
112,4,1,0,0,3,0,1,2,0,0,2,1,1
113,0,0,0,0,0,0,1,0,0,0,0,0,0
114,2,0,0,1,1,0,0,8,1,0,0,0,1
115,0,0,0,0,0,0,2,0,0,0,0,0,0
118,1,0,0,0,2,0,1,1,0,1,0,0,0
119,3,2,1,0,2,1,2,5,1,1,5,1,1
120,0,0,0,0,0,1,0,1,0,0,1,0,0
121,0,0,0,0,2,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0,0,0,0,0,0,0,4,0,0,0,0,0
124,0,1,0,0,0,0,1,0,1,0,0,0,0
125,5,11,1,0,2,2,8,7,3,5,27,2,2
126,2,7,10,0,1,1,2,0,3,2,28,1,3
127,0,2,4,0,0,1,1,0,0,1,4,0,0
128,3,3,1,2,1,3,5,1,2,2,13,2,3
129,1,0,0,1,0,0,0,1,1,0,0,0,1
130,0,1,1,1,0,0,1,0,0,1,1,0,0
131,1,0,0,0,2,1,0,1,0,0,0,0,0
136,0,0,0,0,0,0,0,1,0,0,0,0,0
137,4,0,0,0,1,0,0,0,0,0,3,0,0
142,0,0,0,0,0,0,1,0,0,0,0,0,0
144,0,1,0,0,0,0,0,1,0,0,0,0,0
145,0,0,0,0,0,0,0,0,2,0,1,0,0
146,0,1,0,0,1,0,0,0,0,0,0,0,0
