gefahr_id,Climate change,Technological innovations and scientific advances,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Ecology,Policy
23,0,0,0,0,0,1,0
26,1,0,0,0,0,0,0
35,1,0,0,0,0,0,0
42,0,0,0,0,0,1,0
55,0,0,0,0,0,1,0
58,0,1,0,0,0,0,0
86,1,1,0,0,0,0,1
87,0,0,0,0,1,0,0
88,0,0,0,0,1,0,0
93,1,0,0,0,0,0,0
106,0,0,1,0,0,0,0
111,0,0,0,2,0,0,0
121,1,0,0,0,0,0,0
126,0,0,0,1,0,1,0
145,0,0,0,1,0,0,0
172,0,1,0,0,0,0,0
241,0,0,1,0,0,0,0
256,0,0,0,0,0,1,0
379,0,0,0,1,0,0,0
503,0,1,0,0,0,0,0
525,0,1,0,0,0,0,0
605,0,0,1,2,0,0,0
610,0,0,0,0,0,1,0
