matrix_id,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Tecnologia,Ecologia,Economia,cambiamento demografico
1,0,0,0,1,0,0,0,0,0
8,0,0,0,1,1,0,0,0,0
10,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,1,0,0,0
16,0,0,0,1,0,0,0,0,0
18,0,0,0,2,0,0,0,0,0
21,0,0,0,2,0,1,0,0,0
34,1,0,0,0,0,0,0,0,0
39,0,0,2,1,0,0,0,0,0
58,0,0,1,1,0,0,0,0,0
61,0,0,0,0,0,0,1,0,0
67,0,0,0,0,0,0,1,0,0
93,0,0,0,0,0,1,0,0,0
98,0,0,0,0,0,0,0,0,1
120,0,1,0,0,0,0,0,0,0
