matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,2,7,1,1,2,8,19,3,4,5,8,5,3
3,1,1,1,1,1,2,0,0,0,1,3,0,2
5,1,2,1,0,0,0,0,0,0,0,1,0,0
6,0,0,0,0,0,1,3,5,1,0,0,1,0
7,0,1,0,0,1,1,0,1,0,1,4,1,1
8,1,2,0,0,1,1,4,7,0,0,1,2,1
9,9,0,1,0,2,1,0,13,0,1,15,2,2
10,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,1,1,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,1,1,0,0
14,0,0,0,0,0,0,6,0,2,0,0,1,0
15,0,1,1,1,0,0,3,0,2,0,0,0,1
16,0,0,0,0,0,0,0,0,0,0,1,0,0
18,5,8,1,1,1,5,20,5,6,2,3,5,4
21,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2,0,0,0,1,0,1,1,0,0,1,1,0
23,4,3,2,1,4,0,1,3,0,0,7,0,1
24,1,1,1,1,1,0,0,1,0,0,0,0,1
25,0,1,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,2,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,0,1,0,0
30,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0,0,0,0,1,0,2,0,1,0,0,0,0
34,0,1,2,2,2,2,0,2,0,1,4,1,2
35,1,0,0,0,0,0,1,0,0,1,1,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,1,0,0,2,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,2,3,0,0,1,1,1
39,1,0,0,0,3,2,8,0,0,0,0,1,0
42,0,1,0,0,1,1,1,3,0,1,0,0,0
46,0,0,1,1,0,0,0,0,0,0,0,0,1
47,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0,1,1,0,0,2,0,1,1,0,3,0,1
50,0,0,0,0,0,0,1,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,1,0,0,0,0
54,0,0,0,0,0,0,0,11,0,0,0,0,0
55,0,0,0,0,0,0,0,1,0,0,2,0,0
56,0,0,0,0,0,1,1,2,0,1,0,0,0
58,0,5,0,0,0,9,17,1,2,2,1,4,0
59,0,0,0,0,0,1,1,1,0,0,0,0,0
60,4,2,0,0,0,0,1,2,1,1,10,2,1
62,0,0,0,0,0,0,1,1,0,0,1,1,0
65,0,0,0,0,0,0,0,1,0,0,1,0,0
67,0,0,0,0,0,1,1,0,1,0,1,2,0
72,0,0,0,0,0,0,2,0,0,0,0,0,0
73,0,0,0,0,0,0,2,0,0,0,0,0,0
74,0,0,0,0,0,0,1,0,0,0,0,0,0
77,0,0,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,0,0,0,0,0,1,1,0,0,0,0,0
80,0,0,0,0,0,0,13,0,1,0,0,0,2
81,0,0,0,0,0,0,4,0,0,0,0,0,0
82,7,3,2,0,0,0,1,6,3,2,13,0,2
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,1,1,0,0,0,0,1,0,1,1,0,0
96,0,0,0,0,0,0,1,0,0,0,0,1,0
98,1,0,0,0,1,1,7,1,2,0,2,5,2
99,0,0,0,0,0,0,1,0,0,0,0,0,0
100,0,0,0,0,1,0,2,0,1,0,1,0,0
103,0,0,0,0,0,0,1,0,0,0,0,0,0
104,0,0,0,0,0,0,1,1,0,0,0,0,0
105,0,0,1,1,0,0,0,0,0,1,1,0,1
106,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,1,0,0
118,0,1,0,0,0,0,0,5,2,1,3,1,0
120,0,2,1,1,0,0,0,5,1,0,1,0,1
121,0,0,0,0,0,0,0,2,0,0,0,0,0
123,0,0,0,0,0,0,0,1,0,0,0,0,0
126,0,0,0,0,1,0,0,9,0,0,0,0,0
133,1,0,1,0,1,0,3,0,0,0,1,2,1
138,0,0,0,0,0,1,0,0,0,0,0,0,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,1,0,3,0,0,0,1,0,0
143,0,0,0,0,0,0,2,0,0,0,0,0,0
144,0,0,0,0,0,0,1,0,0,0,1,0,0
148,0,1,0,0,0,0,0,0,0,0,0,2,0
151,0,0,0,0,1,0,0,0,0,0,0,0,0
155,0,1,0,0,0,0,6,0,1,0,0,1,1
156,0,0,0,0,0,0,1,0,0,0,0,0,0
