gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica,cambiamento demografico
1,1,1,0,0,2,1,4,8,2,0,1,1,0,0
2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,0,0,0,0,0,1,1,1,0,0,1,1,0,0
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,0,2,4,4,2,0,0,1,0,0
10,0,0,0,0,0,0,1,1,0,0,2,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,0,1,0,0,1,1,5,7,0,1,1,1,0,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,3,0,0,0
26,0,2,0,0,6,5,10,10,2,3,1,2,0,1
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,0,0,0,0,0,0,1,3,1,0,0,0,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,1,0,5,0,0,0
43,0,1,0,0,0,0,0,0,0,0,2,0,0,0
45,0,2,0,0,0,0,2,0,0,1,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,0,0,0,0,0,0,2,0,0,0,0,0,0,0
51,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,1,0,1,0,0,0
56,0,0,0,0,0,0,1,0,1,0,1,1,0,0
57,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,1,1,1,0,0,1,1,0,1,0,1,2,0,0
78,0,0,0,0,0,1,0,0,0,0,1,0,0,0
79,0,0,0,0,0,0,3,0,0,0,0,0,0,0
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,1,1,0,0,0,0,4,1,0,0,0,3,0,0
87,0,1,0,0,1,0,0,1,0,0,0,0,0,0
88,0,1,0,0,0,0,1,0,0,0,0,0,0,0
89,0,0,0,0,0,0,1,0,1,0,0,0,0,0
90,0,1,0,0,1,0,0,1,0,0,0,0,0,0
91,1,6,2,2,0,1,0,1,1,0,13,7,1,0
92,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,3,1,0,0,2,1,7,4,2,0,3,1,0,0
94,0,0,0,0,0,1,3,2,1,0,1,0,0,0
96,0,0,0,0,0,0,0,0,0,0,2,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,3,0,1,0,10,4,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,0,0,0,0,0,1,5,1,0,1,1,1,0,0
107,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,0,2,0,0,0,0,0,0,0,0,1,0,0,0
111,10,2,1,1,0,3,4,0,1,0,7,1,0,0
112,1,0,0,0,0,0,0,0,0,0,1,0,0,0
113,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,3,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,1,0,0,2,0,0,0
120,0,0,0,0,0,0,1,1,0,0,1,0,0,0
122,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,0,0,0,0,0,0,1,1,1,0,0,0,0,0
125,2,4,0,1,0,0,2,1,0,3,23,2,0,0
126,1,1,1,0,0,0,1,0,0,3,19,1,0,0
127,0,0,0,0,0,0,0,0,0,0,3,0,0,0
128,0,1,0,1,0,0,3,0,0,0,5,3,0,0
130,0,2,0,0,0,0,1,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,0,0,0,0,0,1,1,0,0,0,0,0,0,0
145,0,0,0,0,0,0,3,0,0,0,0,0,1,0
150,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,0,0,0,0,0,1,1,1,1,0,0,0,0,0
162,0,0,0,0,0,0,0,1,0,0,1,0,0,0
165,0,0,0,0,0,0,1,0,1,0,10,2,0,0
166,0,1,0,0,0,1,0,0,0,2,3,0,0,0
167,0,0,0,0,0,0,1,0,0,0,5,0,0,0
172,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,0,1,0,0,0,0,1,1,0,0,0,1,0,0
180,1,0,0,1,0,0,0,0,0,0,3,0,0,0
181,0,0,0,0,1,0,0,8,0,0,1,1,0,0
187,2,2,0,0,0,0,2,0,1,0,7,1,1,0
189,0,0,0,0,0,0,0,2,0,0,0,0,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,0,0,0,0,0,0,1,0,0,1,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,0,0,0,0,0,1,2,1,0,0,1,1,0,0
203,1,1,0,0,0,1,2,0,0,0,1,0,0,0
209,0,0,0,0,0,0,1,0,1,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,1,0,0,0
211,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,0,0,0,0,0,0,0,0,0,1,1,0,0,0
221,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,0,0,0,0,0,0,0,0,0,0,1,0,0,0
226,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,0,0,0,0,0,0,1,0,1,1,2,0,0,0
232,0,0,0,0,0,0,1,3,0,0,0,0,0,0
234,0,1,0,0,1,0,1,0,0,0,0,0,0,0
238,0,0,0,0,0,1,1,2,0,0,0,1,0,0
239,0,0,0,0,0,0,0,1,0,0,0,0,0,0
244,2,0,0,0,0,1,2,18,0,0,4,4,0,0
246,0,1,0,0,0,0,1,0,0,0,1,0,0,0
248,0,0,0,1,0,0,0,0,0,0,1,0,0,0
249,0,0,0,0,0,0,1,0,1,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0,0,1,0,0,0
261,0,0,0,0,0,0,2,0,2,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,1,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,1,0,0,0
277,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,1,0,1,2,0,0
285,0,0,0,0,0,0,0,0,1,0,0,1,0,0
288,0,0,0,0,0,0,0,0,0,0,1,0,0,0
289,0,0,0,0,0,0,0,0,0,0,1,0,0,0
292,0,0,0,0,0,0,0,0,0,1,0,0,0,0
293,0,0,0,1,0,0,0,0,0,0,0,0,0,0
297,0,0,0,1,0,1,2,0,1,0,0,0,0,0
298,1,0,0,0,0,1,1,0,0,0,1,0,0,0
310,0,0,0,0,0,0,0,0,0,0,1,0,0,0
314,0,0,0,0,0,0,0,1,0,0,1,0,0,0
320,0,0,0,0,0,0,0,1,0,0,0,0,0,0
333,0,0,0,0,0,2,5,1,2,0,0,0,0,0
334,0,0,0,0,1,0,0,0,0,0,0,0,0,0
343,0,1,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,1,0,1,0,2,1,0,0
348,0,0,0,0,1,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,1,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,6,0,0,0,0,0,0
363,0,1,0,0,0,0,3,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,1,0,0,0
371,0,0,0,0,0,0,1,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,1,0,0,0
392,0,0,0,0,0,0,1,1,0,0,0,0,0,0
401,0,0,0,0,0,1,0,1,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,1,1,0,0
437,1,0,0,0,0,0,0,0,0,0,1,0,0,0
448,0,0,0,0,0,0,1,0,0,0,0,0,0,0
450,0,0,0,0,0,0,2,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0,1,0,0,0
461,0,0,0,0,0,0,2,0,0,0,0,0,0,0
465,0,0,0,0,0,0,1,0,0,0,0,0,0,0
466,0,0,0,0,0,0,1,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,1,0,0,0
473,1,0,0,0,0,0,0,0,0,0,0,0,0,0
474,1,0,0,0,0,1,1,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,1,0,0,1,0,0,0
483,0,0,0,0,0,0,0,0,0,1,1,0,0,0
485,0,0,0,0,0,0,0,2,0,0,1,1,0,0
503,4,0,0,0,1,1,2,0,0,0,2,0,0,0
504,0,0,0,0,0,0,0,1,0,0,0,0,0,0
507,0,0,0,0,0,0,1,0,0,0,0,0,0,0
516,0,0,0,0,0,0,1,0,0,0,1,0,0,0
518,0,1,0,1,0,0,0,0,0,1,9,1,0,0
521,0,0,0,0,0,0,1,2,0,0,0,0,0,0
522,0,0,0,0,0,0,1,0,0,0,0,0,0,0
525,1,0,0,0,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,3,17,0,2,1,0,2,0,0
532,0,0,0,0,0,0,0,0,0,0,1,0,0,0
533,1,0,0,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,1,1,0,1,0,0
536,0,0,0,0,0,0,1,0,0,0,0,0,0,0
537,0,1,0,0,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,1,0,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,1,0,0,1,0,0,0
541,0,0,0,0,0,0,0,1,0,0,0,0,0,0
542,0,1,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,1,0,0,0,0,0,0
544,0,0,0,0,0,0,1,1,1,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,1,0,0,0
547,0,0,0,0,1,0,0,0,0,0,0,0,0,0
548,0,2,0,0,0,0,0,0,0,1,1,0,0,0
549,0,0,0,0,0,0,0,1,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,1,0,0,0
551,0,0,0,0,0,0,0,0,0,0,1,0,0,0
552,0,0,0,0,0,0,0,0,0,0,1,0,0,0
553,0,0,0,0,0,0,0,0,0,0,1,0,0,0
554,0,0,0,0,0,0,1,0,0,0,0,0,0,0
