steckbrief_id,Climate change,Technological innovations and scientific advances,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy
8,0,0,0,0,0,0,0,1,3,0
25,0,1,0,0,1,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0
47,0,1,1,0,0,0,0,0,0,0
95,0,0,0,1,4,0,0,0,0,0
108,0,0,0,0,0,0,0,0,1,0
211,0,0,0,0,1,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,1
238,0,0,0,0,1,0,0,0,0,0
239,0,0,0,0,0,1,0,0,0,0
266,0,0,0,0,1,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,1
301,0,0,0,0,0,0,1,0,0,0
