steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Technologie,Umwelt,Wirtschaft
8,0,0,0,0,0,0,1,0
11,1,0,0,0,0,0,0,0
16,0,0,0,0,1,0,0,0
30,1,0,0,0,0,0,0,0
34,0,0,1,1,0,0,0,0
48,0,0,0,1,1,0,0,0
95,0,0,1,1,0,0,0,0
181,0,0,0,1,0,0,0,1
231,0,0,0,1,0,0,0,0
236,0,0,0,1,0,0,0,1
238,0,1,0,0,0,1,0,0
267,0,0,0,0,1,0,0,1
277,0,0,0,1,0,0,0,0
