steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Technologie,Umwelt,Politik
8,0,0,0,0,0,1,0,0
13,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,1,0
34,0,0,0,1,0,0,0,0
36,1,0,0,0,0,0,0,0
48,0,0,0,0,1,0,0,0
59,0,0,1,0,0,0,0,0
83,0,1,0,0,0,0,0,0
178,0,0,0,0,0,0,1,0
188,0,0,0,0,0,0,1,1
236,0,0,0,0,1,0,0,0
279,0,0,0,0,0,0,1,0
285,0,0,0,0,0,0,1,0
