gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Ecologia,Economia
1,0,0,0,0,1,0,0,0
63,0,0,0,0,0,0,0,1
91,0,1,0,0,0,0,0,0
111,1,0,0,0,0,0,1,0
125,0,0,0,0,0,0,1,0
126,0,0,1,0,0,0,1,0
143,0,0,0,0,0,0,1,0
166,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,1,0
214,0,0,0,0,0,0,1,0
216,0,0,0,0,0,0,1,0
244,0,0,0,0,1,0,0,1
457,0,0,0,0,0,0,1,0
503,1,0,0,0,0,0,0,0
528,0,0,0,1,0,0,0,0
581,0,0,0,0,0,0,1,0
583,0,0,0,1,0,1,0,0
