gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,1,0,0,0,1,0,1,15,1,0,1,0,0
2,1,1,0,0,0,0,0,1,0,0,0,1,0
4,0,0,0,0,0,0,2,1,0,0,0,0,0
5,0,0,0,0,0,0,1,1,0,0,0,0,0
7,1,1,0,0,0,0,0,1,0,0,0,1,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,0,0,0,1,3,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,1,0,0
18,0,0,0,0,0,0,0,4,0,0,0,0,0
19,1,0,0,0,0,0,0,8,0,0,1,0,0
20,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0,2,0,0,2,2,4,14,1,1,0,1,0
31,0,0,0,0,0,0,0,2,0,0,0,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,2,0,0
39,0,0,1,0,0,0,0,0,1,0,1,0,0
41,0,0,0,0,0,0,0,1,0,0,0,0,0
43,0,1,0,0,0,0,1,0,0,0,2,0,0
45,0,1,0,0,0,0,2,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,1,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,0
58,0,1,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0,0
63,2,0,2,0,0,0,0,6,1,0,2,1,1
66,0,0,0,0,0,0,1,0,0,0,0,0,0
69,0,0,0,0,0,0,2,0,0,0,0,0,0
78,0,0,0,0,0,0,0,1,0,0,1,0,0
79,0,0,0,0,0,0,5,0,0,0,0,0,0
80,0,0,0,0,0,0,1,0,0,0,0,1,2
86,1,0,0,0,0,0,0,2,0,0,1,0,0
87,1,1,0,0,2,0,0,5,0,0,1,0,0
88,0,0,0,0,0,0,0,3,0,0,0,0,0
89,1,1,0,0,0,0,0,0,0,0,0,1,0
90,0,0,0,0,1,0,0,0,0,0,1,0,1
91,2,2,4,0,0,0,0,1,1,0,10,4,1
93,4,5,1,2,5,0,4,15,2,2,2,1,2
94,0,0,0,0,1,1,0,5,0,0,1,0,1
96,0,0,0,0,0,0,0,0,0,0,1,0,0
99,3,0,0,0,0,1,0,3,0,0,3,0,0
102,2,0,1,0,0,0,3,0,0,0,9,2,1
103,0,0,0,0,0,1,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1,0,0,0,0,0
106,0,0,0,0,0,0,3,1,0,0,0,1,0
109,3,3,1,0,1,1,2,0,0,1,4,1,1
111,10,4,2,0,3,2,6,2,1,0,8,2,0
112,1,0,0,0,0,0,0,1,0,0,1,0,0
113,0,0,0,0,0,0,1,0,0,0,0,0,0
114,2,0,0,1,1,0,0,5,1,0,0,0,1
115,0,0,0,0,0,0,1,0,0,0,0,0,0
118,1,0,0,0,1,0,1,1,0,0,0,0,0
119,1,2,1,0,0,0,1,2,0,1,4,0,0
120,0,0,0,0,0,0,0,0,0,0,1,0,0
122,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0,0,0,0,0,0,0,1,0,0,0,0,0
125,3,7,1,0,2,0,4,5,1,3,13,2,2
126,2,2,3,0,0,1,0,0,2,0,13,0,1
127,0,1,3,0,0,1,0,0,0,0,3,0,0
128,3,1,0,0,0,0,1,0,0,0,7,1,1
129,1,0,0,1,0,0,0,1,1,0,0,0,1
130,0,0,0,1,0,0,0,0,0,1,1,0,0
137,4,0,0,0,1,0,0,0,0,0,3,0,0
145,0,0,0,0,0,0,0,0,1,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,1,0,1
150,0,0,0,0,0,1,0,0,1,0,0,0,1
156,0,0,0,0,0,0,0,1,0,0,0,0,0
162,0,0,0,0,0,0,0,1,0,0,1,0,0
164,0,0,0,0,0,0,0,0,0,0,1,0,0
165,1,0,1,0,0,1,4,0,0,0,9,1,0
166,0,1,0,1,0,0,1,0,0,0,3,0,0
167,1,0,1,0,0,0,1,0,0,0,5,0,0
172,1,1,0,0,0,0,0,0,0,0,1,0,0
176,1,1,0,0,1,0,0,2,0,0,0,1,0
178,0,0,0,0,1,0,1,0,0,0,0,0,0
181,1,0,0,1,2,0,0,9,1,0,1,2,1
182,0,0,0,0,0,0,0,0,0,0,1,0,0
187,2,1,0,0,0,0,3,0,0,0,8,1,2
189,0,0,0,0,0,0,0,1,0,0,0,0,0
193,0,0,0,0,0,0,0,1,0,0,0,0,0
197,0,0,0,0,0,0,1,0,0,0,1,0,0
202,0,0,0,0,0,0,1,1,0,0,1,1,0
203,2,1,0,0,0,1,1,0,0,0,1,0,0
210,0,0,0,0,0,0,1,0,0,0,1,0,0
211,0,0,0,0,0,0,1,0,0,0,0,0,0
218,0,0,0,0,0,0,0,1,0,0,1,0,0
225,0,0,0,0,0,0,1,0,0,0,2,0,0
227,0,0,0,0,0,0,2,0,0,0,0,0,0
228,0,0,0,0,1,0,0,0,0,0,0,0,0
230,0,1,0,0,0,0,1,0,2,0,3,0,1
231,0,0,0,0,1,0,0,0,0,0,0,0,0
232,1,0,0,0,0,0,1,2,0,0,0,0,0
234,0,0,0,0,0,0,2,0,0,0,0,0,0
238,1,0,0,0,0,1,0,1,0,0,1,0,0
241,0,1,0,0,0,0,0,0,0,0,0,0,0
244,1,0,0,1,1,0,2,19,0,0,0,1,0
246,0,0,0,0,0,1,2,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0,1
255,0,0,0,0,0,0,0,3,0,0,1,0,0
256,2,0,0,0,0,0,0,0,0,0,1,0,0
261,0,0,1,0,0,0,0,0,1,0,1,0,0
266,0,0,1,0,0,0,0,0,1,0,1,0,0
267,1,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,1,0,0
271,0,0,0,0,0,1,1,0,0,1,1,0,0
272,0,0,0,0,0,0,0,0,0,0,1,0,0
273,0,0,0,0,0,0,2,0,0,0,0,0,0
277,3,0,0,0,0,0,0,0,0,0,1,0,0
284,0,0,0,0,0,0,0,0,0,0,1,1,0
285,0,0,0,0,0,0,0,0,0,1,0,0,0
288,1,1,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,1,0,0,0,0,0,0
297,0,0,0,0,0,2,0,0,1,0,0,0,1
298,1,0,0,0,0,1,1,0,0,0,1,0,0
