canton,week,variable,value
19,2025-04-29,farms_free_count,880
19,2025-04-29,farms_blocked_count,90
19,2025-04-29,farms_total_count,970
19,2025-04-29,farms_blocked_proportion,9
19,2025-04-29,farms_free_proportion,91
16,2025-04-29,farms_free_count,118
16,2025-04-29,farms_blocked_count,17
16,2025-04-29,farms_total_count,135
16,2025-04-29,farms_blocked_proportion,13
16,2025-04-29,farms_free_proportion,87
15,2025-04-29,farms_free_count,267
15,2025-04-29,farms_blocked_count,33
15,2025-04-29,farms_total_count,300
15,2025-04-29,farms_blocked_proportion,11
15,2025-04-29,farms_free_proportion,89
2,2025-04-29,farms_free_count,3466
2,2025-04-29,farms_blocked_count,411
2,2025-04-29,farms_total_count,3877
2,2025-04-29,farms_blocked_proportion,11
2,2025-04-29,farms_free_proportion,89
13,2025-04-29,farms_free_count,302
13,2025-04-29,farms_blocked_count,25
13,2025-04-29,farms_total_count,327
13,2025-04-29,farms_blocked_proportion,8
13,2025-04-29,farms_free_proportion,92
12,2025-04-29,farms_free_count,18
12,2025-04-29,farms_blocked_count,0
12,2025-04-29,farms_total_count,18
12,2025-04-29,farms_blocked_proportion,0
12,2025-04-29,farms_free_proportion,100
LIE,2025-04-29,farms_free_count,52
LIE,2025-04-29,farms_blocked_count,4
LIE,2025-04-29,farms_total_count,56
LIE,2025-04-29,farms_blocked_proportion,7
LIE,2025-04-29,farms_free_proportion,93
10,2025-04-29,farms_free_count,958
10,2025-04-29,farms_blocked_count,102
10,2025-04-29,farms_total_count,1060
10,2025-04-29,farms_blocked_proportion,10
10,2025-04-29,farms_free_proportion,90
25,2025-04-29,farms_free_count,119
25,2025-04-29,farms_blocked_count,4
25,2025-04-29,farms_total_count,123
25,2025-04-29,farms_blocked_proportion,3
25,2025-04-29,farms_free_proportion,97
8,2025-04-29,farms_free_count,84
8,2025-04-29,farms_blocked_count,1
8,2025-04-29,farms_total_count,85
8,2025-04-29,farms_blocked_proportion,1
8,2025-04-29,farms_free_proportion,99
18,2025-04-29,farms_free_count,751
18,2025-04-29,farms_blocked_count,7
18,2025-04-29,farms_total_count,758
18,2025-04-29,farms_blocked_proportion,1
18,2025-04-29,farms_free_proportion,99
26,2025-04-29,farms_free_count,440
26,2025-04-29,farms_blocked_count,37
26,2025-04-29,farms_total_count,477
26,2025-04-29,farms_blocked_proportion,8
26,2025-04-29,farms_free_proportion,92
3,2025-04-29,farms_free_count,1860
3,2025-04-29,farms_blocked_count,115
3,2025-04-29,farms_total_count,1975
3,2025-04-29,farms_blocked_proportion,6
3,2025-04-29,farms_free_proportion,94
24,2025-04-29,farms_free_count,175
24,2025-04-29,farms_blocked_count,13
24,2025-04-29,farms_total_count,188
24,2025-04-29,farms_blocked_proportion,7
24,2025-04-29,farms_free_proportion,93
7,2025-04-29,farms_free_count,98
7,2025-04-29,farms_blocked_count,14
7,2025-04-29,farms_total_count,112
7,2025-04-29,farms_blocked_proportion,12
7,2025-04-29,farms_free_proportion,88
6,2025-04-29,farms_free_count,152
6,2025-04-29,farms_blocked_count,17
6,2025-04-29,farms_total_count,169
6,2025-04-29,farms_blocked_proportion,10
6,2025-04-29,farms_free_proportion,90
17,2025-04-29,farms_free_count,966
17,2025-04-29,farms_blocked_count,177
17,2025-04-29,farms_total_count,1143
17,2025-04-29,farms_blocked_proportion,15
17,2025-04-29,farms_free_proportion,85
14,2025-04-29,farms_free_count,155
14,2025-04-29,farms_blocked_count,10
14,2025-04-29,farms_total_count,165
14,2025-04-29,farms_blocked_proportion,6
14,2025-04-29,farms_free_proportion,94
11,2025-04-29,farms_free_count,410
11,2025-04-29,farms_blocked_count,49
11,2025-04-29,farms_total_count,459
11,2025-04-29,farms_blocked_proportion,11
11,2025-04-29,farms_free_proportion,89
5,2025-04-29,farms_free_count,383
5,2025-04-29,farms_blocked_count,79
5,2025-04-29,farms_total_count,462
5,2025-04-29,farms_blocked_proportion,17
5,2025-04-29,farms_free_proportion,83
20,2025-04-29,farms_free_count,504
20,2025-04-29,farms_blocked_count,70
20,2025-04-29,farms_total_count,574
20,2025-04-29,farms_blocked_proportion,12
20,2025-04-29,farms_free_proportion,88
21,2025-04-29,farms_free_count,359
21,2025-04-29,farms_blocked_count,49
21,2025-04-29,farms_total_count,408
21,2025-04-29,farms_blocked_proportion,12
21,2025-04-29,farms_free_proportion,88
4,2025-04-29,farms_free_count,209
4,2025-04-29,farms_blocked_count,22
4,2025-04-29,farms_total_count,231
4,2025-04-29,farms_blocked_proportion,10
4,2025-04-29,farms_free_proportion,90
22,2025-04-29,farms_free_count,933
22,2025-04-29,farms_blocked_count,53
22,2025-04-29,farms_total_count,986
22,2025-04-29,farms_blocked_proportion,5
22,2025-04-29,farms_free_proportion,95
23,2025-04-29,farms_free_count,774
23,2025-04-29,farms_blocked_count,28
23,2025-04-29,farms_total_count,802
23,2025-04-29,farms_blocked_proportion,3
23,2025-04-29,farms_free_proportion,97
9,2025-04-29,farms_free_count,229
9,2025-04-29,farms_blocked_count,9
9,2025-04-29,farms_total_count,238
9,2025-04-29,farms_blocked_proportion,4
9,2025-04-29,farms_free_proportion,96
1,2025-04-29,farms_free_count,759
1,2025-04-29,farms_blocked_count,54
1,2025-04-29,farms_total_count,813
1,2025-04-29,farms_blocked_proportion,7
1,2025-04-29,farms_free_proportion,93
CHE,2025-04-29,farms_free_count,15369
CHE,2025-04-29,farms_blocked_count,1486
CHE,2025-04-29,farms_total_count,16855
CHE,2025-04-29,farms_blocked_proportion,8
