year,productName,productOrigin,examinationParameter,numberOfSamplesCollected,numberOfNonCompliantSamples,proportionOfNonCompliance
2021,pn1,po4,ep18,23,4,17
2021,pn2,po22,ep18,13,1,8
2021,pn3,po16,ep18,7,0,0
2021,pn4,po1,ep18,151,21,14
2021,pn5,po22,ep18,9,2,22
2021,pn9,po22,ep18,24,2,8
2021,pn10,po22,ep18,7,1,14
2021,pn12,po7,ep18,15,3,20
2021,pn13,po2,ep27,2,1,50
2021,pn14,po21,ep27,1,0,0
2021,pn14,po8,ep27,2,0,0
2021,pn16,po4,ep18,4,1,25
2021,pn17,po3,ep18,1,0,0
2022,pn1,po4,ep18,9,0,0
2022,pn2,po22,ep18,17,2,12
2022,pn3,po17,ep18,12,0,0
2022,pn4,po6,ep18,134,19,14
2022,pn5,po22,ep18,10,0,0
2022,pn6,po20,ep18,4,2,50
2022,pn8,po7,ep18,2,0,0
2022,pn9,po22,ep18,9,1,11
2022,pn15,po7,ep18,24,5,21
2022,pn11,po20,ep18,10,4,40
2022,pn12,po7,ep18,18,2,11
2022,pn13,po2,ep27,1,0,0
2022,pn17,po3,ep18,1,0,0
2023,pn1,po4,ep18,13,0,0
2023,pn2,po15,ep18,20,0,0
2023,pn3,po16,ep18,24,1,4
2023,pn4,po11,ep18,128,11,9
2023,pn5,po22,ep18,12,1,8
2023,pn6,po20,ep18,1,0,0
2023,pn7,po18,ep18,2,0,0
2023,pn8,po7,ep18,11,3,27
2023,pn9,po22,ep18,2,0,0
2023,pn15,po7,ep18,31,5,16
2023,pn11,po20,ep18,4,3,75
2023,pn12,po7,ep18,18,1,5
2023,pn14,po12,ep27,1,0,0
2023,pn17,po3,ep18,1,0,0
2024,pn1,po4,ep18,5,0,0
2024,pn3,po9,ep18,47,7,15
2024,pn4,po5,ep18,127,34,27
2024,pn5,po22,ep18,20,0,0
2024,pn6,po14,ep18,19,0,0
2024,pn7,po19,ep18,25,0,0
2024,pn8,po10,ep18,15,2,13
2024,pn15,po7,ep18,45,8,18
2024,pn12,po7,ep18,18,1,6
2024,pn14,po13,ep27,2,1,50
