ID,DE,FR,IT,EN
ep1,allergene Duftstoffe,Substances parfumantes allergisantes,Fragranze allergizzanti,Allergenic fragrances
ep2,verbotene Duftstoffe,Parfums interdits,Fragranze vietate,Banned fragrances
ep3,Cadmium,Cadmium,Cadmio,Cadmium
ep4,Kontamination mit polyzyklischen aromatischen Kohlenwasserstoffe (PAK),Contamination par des hydrocarbures aromatiques polycycliques (HAP),Contaminazione con gli idrocarburi policiclici aromatici (IPA),Contamination with polycyclic aromatic hydrocarbons (PAH)
ep5,Täuschung (bio),Tromperie (bio),Inganno (bio),Deception (organic)
ep6,ETO und Salmonellen,Oxyde d'éthylène et salmonelles,Ossido di etilene e salmonelle,Ethylene oxide and salmonella
ep7,"Schwermetalle (Pb, Cd, Hg), ausgelobte Mineralstoffe und Kennzeichnung","Métaux lourds (Pb, Cd, Hg), allégations relatives aux minéraux et étiquetage","Metalli pesanti (Pb, Cd, Hg), indicazione sui minerali e caratterizzazione","Heavy metals (Pb, Cd, Hg), claimed minerals and labelling"
ep8,Bestrahlte Zutaten,Ingrédients irradiés,Ingredienti irradiati,Irradiated ingredients
ep9,Mikrobiologischen und chemischen Kriterien / Deklarationsprüfung,Critères microbiologiques et chimiques / contrôle de la déclaration,Criteri microbiologici e chimici / Verifica dichiarazione,Microbiological and chemical criteria/ declaration control
ep10,Mikrobiologie,Microbiologie,Microbiologia,Microbiology
ep11,Mikrobiologie (Salmonellen und Listerien),Microbiologie (salmonelles et listérias),Microbiologia (salmonelle e listerie),Microbiology (salmonella and listeria)
ep12,Mikrobiologie (STEC),Microbiologie (STEC),Microbiologia (STEC),Microbiology (STEC)
ep13,Mykotoxine,Mycotoxines,Micotossine,Mycotoxins
ep14,Mykotoxine und Mikrobiologie,Mycotoxines et microbiologie,Micotossine e microbiologia,Mycotoxins and microbiology
ep15,Mykotoxine und Salmonellen,Mycotoxines et salmonelles,Micotossine e salmonelle,Mycotoxins and salmonella
ep16,"Mykotoxine, Mikrobiologie, Farbstoffe, Allergene (Gluten)","Mycotoxines, microbiologie, colorants, allergènes (gluten)","Micotossine, aspetti microbiologici, coloranti, allergeni (glutine)","Mycotoxins, microbiology, colourings, allergens (gluten)"
ep17,Noroviren,Norovirus,Norovirus,Norovirus
ep18,Pestizidrückstände,Résidus de pesticides,Residui di pesticidi,Pesticide residues
ep19,Konservierungs- und allergene Duftstoffe,Conservateurs et substances parfumantes allergènes,Conservanti e fragranze allergizzanti,Preservatives and allergenic fragrances
ep20,Ethylenoxid-Rückstände,Résidus d’oxyde d’éthylène,Residui di ossido di etilene,Residues of ethylene oxide
ep21,Salmonellen,Salmonelles,Salmonelle,Salmonella
ep22,"Salmonellen, Bestrahlung, Verfälschung, Pestizidrückstände","Salmonelles, irradiation, falsification, résidus de pesticides","Salmonella, trattamento mediante irradiazione, contraffazione, residui di pesticidi","Salmonella, irradiation, falsification, pesticides residues"
ep23,Sudanfarbstoffe,Colorants Soudan,Coloranti Sudan,Sudan dyes
ep24,Schwefeldioxid und Sulfite,Dioxyde de soufre et sulfites,Acido solforoso e solfiti,Sulphur dioxide and sulphites
ep25,Titanoxid,Oxyde de titane,Ossido di titanio,Titanium oxide
ep26,verbotene Arzneistoffe und Kennzeichnung,Substances médicamenteuses interdites et étiquetage,Sostanze medicinali vietate e caratterizzazione,Unauthorised medicinal substances and labelling
ep27,Aflatoxine,Aflatoxines,Aflatossine,Aflatoxins
