year,canton,diseasesGroup,diseases,species,count
1991,SG,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1991,OW,Diseases to be controlled,Salmonellosis,Cattle,2
1991,SG,Diseases to be controlled,Salmonellosis,Cattle,6
1991,AG,Eradicable diseases,Enzootic bovine leukosis,Cattle,5
1991,AG,Eradicable diseases,Rabies,Fox,1
1991,LU,Eradicable diseases,Enzootic bovine leukosis,Cattle,2
1991,ZH,Diseases to be controlled,Salmonellosis,Cattle,8
1991,SO,Diseases to be controlled,Avian chlamydiosis,Parrot,1
1991,TI,Diseases to be controlled,Leptospirosis,Cattle,1
1991,BE,Diseases to be controlled,Sheep scab,Sheep,14
1991,TG,Diseases to be controlled,European foulbrood of bees,Bees,3
1991,SG,Diseases to be monitored,Q fever (Coxiellosis),Cattle,20
1991,GR,Diseases to be controlled,European foulbrood of bees,Bees,3
1991,NE,Diseases to be controlled,Salmonellosis,Snake,1
1991,SG,Diseases to be controlled,Sheep scab,Sheep,1
1991,TI,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1991,BE,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,3
1991,SZ,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1991,BE,Eradicable diseases,Rabies,Cattle,1
1991,ZH,Diseases to be controlled,Avian chlamydiosis,Parrot,4
1991,SG,Diseases to be controlled,Avian chlamydiosis,Pigeon,1
1991,AR,Diseases to be controlled,Leptospirosis,Cattle,10
1991,TI,Eradicable diseases,Infectious agalactia,Goat,1
1991,SZ,Diseases to be monitored,Q fever (Coxiellosis),Goat,1
1991,NE,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,4
1991,AG,Diseases to be controlled,American foulbrood of bees,Bees,2
1991,UR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,3
1991,ZH,Eradicable diseases,Enzootic bovine leukosis,Cattle,3
1991,NE,Diseases to be controlled,Salmonellosis,Dog,1
1991,VS,Diseases to be monitored,Q fever (Coxiellosis),Cattle,5
1991,FR,Diseases to be controlled,Salmonellosis,Cattle,1
1991,AR,Diseases to be controlled,Avian chlamydiosis,Parrot,1
1991,SO,Eradicable diseases,Rabies,Fox,1
1991,TI,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,3
1991,TG,Eradicable diseases,Enzootic bovine leukosis,Cattle,11
1991,GR,Diseases to be controlled,American foulbrood of bees,Bees,7
1991,ZG,Eradicable diseases,Enzootic bovine leukosis,Cattle,2
1991,GR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1991,ZH,Diseases to be monitored,Q fever (Coxiellosis),Cattle,13
1991,NE,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,3
1991,VS,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,3
1991,FR,Diseases to be controlled,Salmonellosis,Other wild bird,1
1991,LU,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1991,SH,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,1
1991,NE,Eradicable diseases,Rabies,Marten,2
1991,SH,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1991,TI,Diseases to be controlled,Leptospirosis,Goat,1
1991,SG,Diseases to be controlled,European foulbrood of bees,Bees,4
1991,BE,Diseases to be controlled,Salmonellosis,Cattle,12
1991,VD,Eradicable diseases,Enzootic bovine leukosis,Cattle,2
1991,ZG,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1991,SO,Diseases to be monitored,Blackleg,Cattle,1
1991,FR,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,3
1991,AG,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1991,VD,Diseases to be controlled,Salmonellosis,Pigeon,1
1991,JU,Eradicable diseases,Rabies,Fox,29
1991,GL,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1991,FR,Diseases to be monitored,Blackleg,Cattle,3
1991,VD,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,4
1991,VD,Diseases to be controlled,Infectious pancreatic necrosis,Fish,2
1991,GR,Diseases to be controlled,Sheep scab,Sheep,1
1991,SZ,Diseases to be controlled,Salmonellosis,Cattle,3
1991,BE,Diseases to be controlled,Salmonellosis,Chicken,13
1991,VD,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,6
1991,VD,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,2
1991,BE,Diseases to be monitored,Q fever (Coxiellosis),Goat,1
1991,NE,Eradicable diseases,Rabies,Cat,1
1991,BE,Eradicable diseases,Enzootic bovine leukosis,Cattle,6
1991,SG,Diseases to be controlled,Avian chlamydiosis,Parrot,2
1991,FR,Diseases to be controlled,American foulbrood of bees,Bees,4
1991,SG,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,4
1991,AG,Diseases to be controlled,Avian chlamydiosis,Parrot,1
1991,SH,Diseases to be controlled,Salmonellosis,Chicken,1
1991,AG,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1991,JU,Diseases to be controlled,American foulbrood of bees,Bees,2
1991,VD,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1991,SH,Eradicable diseases,Enzootic bovine leukosis,Cattle,5
1991,FR,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,1
1991,LU,Diseases to be controlled,American foulbrood of bees,Bees,3
1991,AG,Diseases to be controlled,Leptospirosis,Cattle,1
1991,BL,Eradicable diseases,Rabies,Fox,1
1991,BE,Diseases to be controlled,European foulbrood of bees,Bees,2
1991,BE,Eradicable diseases,Rabies,Badger,1
1991,VD,Diseases to be controlled,Leptospirosis,Cattle,1
1991,UR,Diseases to be controlled,Sheep scab,Sheep,9
1991,BE,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,1
1991,SH,Diseases to be controlled,Salmonellosis,Cattle,1
1991,LU,Diseases to be controlled,Salmonellosis,Cattle,16
1991,SZ,Diseases to be monitored,Blackleg,Cattle,1
1991,NE,Eradicable diseases,Rabies,Fox,25
1991,AI,Diseases to be monitored,Q fever (Coxiellosis),Cattle,3
1991,SH,Diseases to be controlled,American foulbrood of bees,Bees,4
1991,VS,Diseases to be monitored,Rabbit hemorrhagic disease,Hare,1
1991,VD,Diseases to be controlled,Salmonellosis,Pig,1
1991,GL,Diseases to be controlled,Avian chlamydiosis,Other wild bird,1
1991,TI,Highly contagious diseases,Newcastle disease,Pigeon,1
1991,TG,Eradicable diseases,Tuberculosis / Mycobacteriosis,Cattle,1
1991,BE,Diseases to be controlled,Sheep scab,Goat,1
1991,BE,Eradicable diseases,Rabies,Fox,35
1991,AG,Diseases to be controlled,Salmonellosis,Cattle,8
1991,AR,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,2
1991,UR,Diseases to be controlled,Salmonellosis,Cattle,1
1991,ZH,Diseases to be controlled,Avian chlamydiosis,Pigeon,1
1991,UR,Diseases to be controlled,American foulbrood of bees,Bees,3
1991,SO,Diseases to be controlled,Salmonellosis,Cattle,1
1991,AI,Diseases to be controlled,Salmonellosis,Cattle,1
1991,BE,Diseases to be controlled,Avian chlamydiosis,Pigeon,3
1991,SZ,Eradicable diseases,Strangles,Sheep,1
1991,SZ,Diseases to be controlled,Leptospirosis,Cattle,2
1991,VD,Diseases to be controlled,American foulbrood of bees,Bees,5
1991,TI,Diseases to be controlled,American foulbrood of bees,Bees,6
1991,SG,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1991,OW,Diseases to be controlled,European foulbrood of bees,Bees,1
1991,VD,Diseases to be monitored,Blackleg,Cattle,1
1991,LU,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1991,BL,Eradicable diseases,Enzootic bovine leukosis,Cattle,2
1991,BL,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,1
1991,ZH,Diseases to be controlled,European foulbrood of bees,Bees,1
1991,NW,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1991,FR,Diseases to be controlled,Leptospirosis,Cattle,36
1991,BE,Diseases to be controlled,American foulbrood of bees,Bees,20
1991,VS,Diseases to be controlled,Salmonellosis,Chicken,1
1991,AG,Diseases to be monitored,Q fever (Coxiellosis),Cattle,6
1991,FR,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,3
1991,BE,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1991,VS,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1991,VD,Diseases to be controlled,Salmonellosis,Cattle,2
1991,BE,Eradicable diseases,Rabies,Marten,4
1991,AR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,4
1991,TG,Diseases to be controlled,Salmonellosis,Cattle,4
1991,VS,Diseases to be controlled,American foulbrood of bees,Bees,9
1991,AI,Diseases to be controlled,Leptospirosis,Cattle,1
1991,ZG,Diseases to be controlled,European foulbrood of bees,Bees,3
1991,NE,Diseases to be monitored,Q fever (Coxiellosis),Cattle,2
1991,NW,Diseases to be controlled,Salmonellosis,Cattle,3
1991,SG,Diseases to be controlled,Leptospirosis,Cattle,1
1991,JU,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,1
1991,VS,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,1
1991,SO,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1991,SZ,Diseases to be controlled,Sheep scab,Sheep,15
