matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Società,Ecologia,Economia,Politica
1,0,0,0,0,2,1,1,0,2,2
3,0,1,1,0,0,0,0,0,0,1
5,0,2,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,1,0,5,0
9,0,0,0,0,0,0,0,0,3,0
11,1,1,0,0,0,0,0,0,3,0
12,0,0,0,0,0,2,0,0,0,1
18,1,1,0,1,0,1,4,1,14,1
22,0,0,0,0,0,1,0,0,1,0
24,0,0,0,0,0,0,0,0,1,0
34,0,0,1,0,0,0,1,0,1,2
36,0,0,0,0,0,0,0,1,1,0
38,0,0,0,0,0,0,0,0,1,0
39,0,0,0,0,0,1,0,0,0,0
42,0,0,0,0,0,1,0,0,0,0
48,0,1,0,0,1,0,0,0,1,0
52,0,0,0,0,0,1,0,0,0,0
56,0,1,0,0,0,0,0,0,0,0
58,0,0,0,0,2,2,0,0,1,0
60,0,0,0,0,0,1,0,1,4,0
67,0,0,0,0,0,2,1,0,5,0
93,0,0,0,0,0,0,1,0,3,1
98,0,0,0,0,0,1,1,0,1,0
133,0,1,0,0,0,1,0,0,1,1
135,0,0,1,0,0,1,0,0,1,0
138,0,0,0,0,1,0,0,0,0,0
142,0,0,0,0,0,1,0,0,0,0
148,0,0,0,0,0,0,0,0,3,1
155,0,1,0,0,0,3,1,0,0,1
157,0,0,0,0,0,1,0,0,0,0
