gefahr_id,Innovazioni tecnologiche e progressi scientifici,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Economia,Politica
43,0,0,1,0,0,0,0
56,0,0,0,0,0,1,0
58,1,0,0,0,0,0,0
63,0,0,0,1,0,0,1
80,0,0,0,0,0,1,1
91,0,0,0,0,0,2,0
102,0,0,1,0,0,1,0
103,0,1,0,0,0,0,0
128,0,0,0,0,0,1,0
165,0,0,1,0,0,0,0
187,0,0,1,0,0,0,0
202,0,0,1,0,0,1,0
244,0,0,1,0,0,1,0
390,0,0,0,0,1,1,1
471,0,0,1,0,0,0,0
