matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Kreislaufwirtschaft,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Umwelt,Wirtschaft,Politik
1,0,0,0,0,1,1,0,2,2
3,0,0,1,0,0,0,0,0,1
7,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,2,0
12,0,0,0,0,1,0,0,0,1
18,1,0,0,0,0,0,1,2,0
22,0,0,0,0,1,0,0,1,0
34,0,0,1,0,0,1,0,0,2
38,0,0,0,0,0,0,0,1,0
58,0,0,0,2,2,0,0,1,0
67,0,0,0,0,1,1,0,4,0
93,0,0,0,0,0,1,0,1,1
133,0,0,0,0,0,0,0,1,0
135,0,0,1,0,0,0,0,1,0
138,0,0,0,1,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0
148,0,0,0,0,0,0,0,1,0
155,0,1,0,0,3,1,0,0,1
