steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Società,Tecnologia,Ecologia,Economia,Politica
25,0,0,0,0,2,2,0,0,0,0,0
36,3,1,1,1,1,2,1,1,3,3,1
51,1,1,0,1,0,1,0,1,1,2,0
147,1,1,0,1,0,1,0,1,1,1,0
187,0,0,0,0,0,0,0,0,0,1,0
224,0,0,0,0,0,0,0,0,0,1,1
225,0,0,2,0,0,0,0,0,0,2,0
238,0,1,0,0,0,1,1,1,0,0,1
242,0,0,0,0,0,1,0,0,0,0,0
259,0,0,1,0,0,0,1,0,0,1,1
