gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,1,0,0,0,1,0,0,0,0,0,0,0
26,1,1,0,0,1,0,1,0,0,1,1,1,0
45,0,0,0,0,0,0,1,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,0,0,0
63,0,0,0,0,0,0,0,1,0,0,0,0,1
66,0,0,0,0,0,1,2,0,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,0,1,1
91,0,0,0,0,0,0,0,0,0,0,0,2,0
102,0,0,0,0,0,0,1,0,1,0,0,0,1
103,0,1,0,0,0,2,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,1,0,0,1,1
165,1,1,0,0,1,0,1,0,0,1,1,1,0
185,1,1,0,0,1,0,1,0,0,1,1,1,0
261,1,1,0,0,1,0,1,0,0,1,1,1,0
280,0,0,1,0,0,0,0,0,0,0,0,0,0
281,0,0,1,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,1,0,0,0,0,0,0
338,1,1,0,0,1,0,1,0,0,1,1,1,0
341,1,1,0,0,1,0,1,0,0,1,1,1,0
344,0,0,0,1,0,0,0,0,0,0,0,1,0
354,0,0,0,0,0,0,1,0,0,0,0,0,0
374,0,0,0,0,0,0,1,0,0,0,0,0,1
390,0,0,0,1,0,0,0,0,1,0,0,1,2
399,0,0,0,0,0,0,0,0,0,0,0,1,0
400,0,0,0,0,0,0,0,0,0,0,0,1,0
407,0,0,0,0,0,0,0,0,0,0,0,1,0
408,0,0,0,0,0,0,0,0,0,0,0,1,0
415,0,0,0,0,0,0,1,0,0,0,0,0,0
