gefahr_id,Kreislaufwirtschaft,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Wirtschaft,Politik
43,0,0,1,0,0,0,0
63,0,0,0,1,0,0,1
66,0,1,1,0,0,0,1
80,0,0,0,0,0,1,1
91,0,0,0,0,0,2,0
102,0,0,1,0,0,0,0
103,0,1,0,0,0,0,0
165,0,0,1,0,0,0,0
187,0,0,1,0,0,0,0
374,0,0,1,0,0,0,1
390,1,0,0,0,1,1,2
399,0,0,0,0,0,1,0
400,0,0,0,0,0,1,0
407,0,0,0,0,0,1,0
408,0,0,0,0,0,1,0
415,0,0,1,0,0,0,0
471,0,0,1,0,0,0,0
