matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Società,Ecologia,Economia,Politica
1,0,0,0,2,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,1,0,4,0
9,0,0,0,0,0,0,0,1,0
11,1,1,0,0,0,0,0,3,0
18,0,1,1,0,1,3,0,6,1
34,0,0,0,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0
48,0,0,0,1,0,0,0,1,0
60,0,0,0,0,1,0,1,2,0
93,0,0,0,0,0,0,0,2,0
133,0,0,0,0,1,0,0,0,1
148,0,0,0,0,0,0,0,2,1
