steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Société,Technologie,Ecologie,Économie,Politique
25,0,0,0,0,2,2,0,0,0,0,0
36,3,1,1,1,1,2,1,1,3,3,1
51,1,1,0,1,0,1,0,1,1,2,0
93,0,0,0,0,0,1,0,0,0,0,0
147,1,1,0,1,0,1,0,1,1,1,0
148,0,0,0,0,0,1,0,0,0,0,0
187,0,1,0,0,0,0,0,0,0,1,0
224,0,0,0,0,0,0,0,0,0,1,1
225,0,0,2,0,0,0,0,0,0,2,0
230,0,1,0,0,0,0,0,0,0,0,0
238,0,2,0,0,0,1,1,1,0,0,1
242,0,0,0,0,0,1,0,0,0,0,0
259,0,0,1,0,0,0,1,0,0,1,1
277,0,0,0,0,0,1,0,0,0,0,0
