matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Microbiomes et sécurité alimentaire,Comportement des consommateurs et tendances de consommation,Société,Ecologie,Économie,Politique
5,0,1,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0
8,0,0,0,0,1,0,4,0
9,0,0,0,0,0,0,1,0
11,1,1,0,0,0,0,3,0
18,0,1,1,1,4,0,12,1
24,0,0,0,0,0,0,1,0
36,0,0,0,0,0,1,1,0
42,0,0,0,1,0,0,0,0
48,0,0,0,0,0,0,1,0
60,0,0,0,0,0,1,3,0
67,0,0,0,0,0,0,1,0
93,0,0,0,0,0,0,2,0
133,0,0,0,1,0,0,0,0
148,0,0,0,0,0,0,1,1
