gefahr_id,Économie circulaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Économie,Politique
43,0,0,1,0,0,0,0
63,0,0,0,1,0,0,1
66,0,1,1,0,0,0,1
80,0,0,0,0,0,1,1
91,0,0,0,0,0,2,0
102,0,0,2,0,0,0,0
103,0,1,0,0,0,0,0
165,0,0,1,0,0,0,0
187,0,0,1,0,0,0,0
344,1,0,0,0,0,1,0
354,0,0,1,0,0,0,0
374,0,0,1,0,0,0,1
390,1,0,0,0,1,1,2
399,0,0,0,0,0,1,0
400,0,0,0,0,0,1,0
407,0,0,0,0,0,1,0
408,0,0,0,0,0,1,0
415,0,0,1,0,0,0,0
471,0,0,1,0,0,0,0
