steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
25,0,0,0,0,2,2,0,0,0,0,0
36,3,1,1,1,1,2,1,1,3,3,1
51,1,1,0,1,0,1,0,1,1,2,0
93,0,0,0,0,0,1,0,0,0,0,0
147,1,1,0,1,0,1,0,1,1,1,0
148,0,0,0,0,0,1,0,0,0,0,0
187,0,1,0,0,0,0,0,0,0,1,0
211,0,0,0,0,0,1,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,1,1
225,0,0,2,0,0,0,0,0,0,2,0
230,0,1,0,0,0,0,0,0,0,0,0
238,0,2,0,0,0,1,1,1,0,0,1
242,0,0,0,0,0,1,0,0,0,0,0
259,0,0,1,0,0,0,1,0,0,1,1
277,0,0,0,0,0,1,0,0,0,0,0
