matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Umwelt,Wirtschaft,Politik
1,0,0,0,0,2,1,1,0,2,2
3,0,1,1,0,0,0,0,0,0,1
5,0,2,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,1,0,4,0
9,0,0,0,0,0,0,0,0,3,0
11,1,1,0,0,0,0,0,0,3,0
12,0,0,0,0,0,2,0,0,0,1
18,1,1,0,1,0,1,3,1,8,1
22,0,0,0,0,0,1,0,0,1,0
34,0,0,1,0,0,0,1,0,1,2
38,0,0,0,0,0,0,0,0,1,0
39,0,0,0,0,0,1,0,0,0,0
42,0,0,0,0,0,1,0,0,0,0
48,0,1,0,0,1,0,0,0,1,0
52,0,0,0,0,0,1,0,0,0,0
56,0,1,0,0,0,0,0,0,0,0
58,0,0,0,0,2,2,0,0,1,0
60,0,0,0,0,0,1,0,1,2,0
67,0,0,0,0,0,2,1,0,4,0
93,0,0,0,0,0,0,1,0,2,1
98,0,0,0,0,0,1,1,0,1,0
133,0,1,0,0,0,1,0,0,1,1
135,0,0,1,0,0,1,0,0,1,0
138,0,0,0,0,1,0,0,0,0,0
142,0,0,0,0,0,1,0,0,0,0
148,0,0,0,0,0,0,0,0,3,1
155,0,1,0,0,0,3,1,0,0,1
157,0,0,0,0,0,1,0,0,0,0
