Id Experiment Category,DE,FR,IT,EN
experiment_1,Grundlagenforschung,Études biologiques,Studi di biologia nell’ambito della ricerca fondamentale,Biological studies in the field of basic research
experiment_2,"Entdeckung, Entwicklung und Qualitätskontrolle","Recherche, développement et contrôle de qualité ","Ricerca, sviluppo e controllo della qualità","Research, development and quality control "
experiment_3,Krankheitsdiagnistik,Diagnostic de maladies,Diagnosi delle malattie,Diagnosis of disease
experiment_4,Bildung und Ausbildung,Formation et formation continue,Formazione e formazione continua,Education and training
experiment_6,Anderer Zusammenhang,Autres études,Altri studi,Other studies
experiment_51,Toxikologie: Arzneimittel und Medizinprodukte,Toxicologie:  Produits pharmaceutiques et dispositifs médicaux,Tossicologia: Prodotti farmaceutici e dispositivi medici,Toxicology: Pharmaceutical products (including medical devices)
experiment_52,Toxikologie: Landwirtschaft,Toxicologie: Agriculture,Tossicologia:Agricoltura,Toxicology: Agriculture
experiment_53,Toxikologie: Industrie,Toxicologie: Industrie,Tossicologia: Industria,Toxicology: Industry
experiment_54,Toxikologie: Allgemein,Toxikologie: Allgemein,Toxicologie : Généralités,Toxicology: General
experiment_55,Toxikologie: Kosmetik und Toilettenartikeln,Toxicologie : produits cosmétiques et articles de toilette,Tossicologia: cosmetici e articoli da toeletta,Toxicology: Cosmetics and toiletries
experiment_56,Toxikologie: Lebensmittel Zusatzstoffe,Toxicologie: Additifs alimentaires,Tossicologia: Additivi alimentari,Toxicology: Food additives
experiment_57,Toxikologie: Kontaminanten,Toxicologie: Contaminants de l’environnement ,Tossicologia: Contaminanti ambientali ,Toxicology: Environmental contaminants
experiment_58,Toxikologie: Andere Verwendung,Toxicologie: Autres utilisations,Tossicologia: Altri utilizzi,Toxicology: Other uses
