Frage,DE,FR,IT,EN
c03A,1) Frühstück (mit Erw.),1) Petit-déjeuner (avec adulte),1) Colazione (con adulto),1) Breakfast (with adult)
c03B,2) Mittagessen (mit Erw.),2) Dîner de midi (avec adulte),2) Pranzo (con adulto),2) Lunch (with adult)
c03C,3) Abendessen (mit Erw.),3) Souper (avec adulte),3) Cena (con adulto),3) Dinner (with adult)
c04,4) Kocht / hilft beim Kochen,4) Cuit / aide à cuisiner,4) Cucina / aiuta a cucinare,4) Cooks / helps with cooking
p08A,Ausgewogenes Essen,Repas équilibré,Pasto equilibrato,Balanced meal
c23_01,1) Frühstück,1) Petit-déjeuner,1) Colazione,1) Breakfast
c23_02,2) Mittagessen,2) Dîner de midi,2) Pranzo,2) Lunch
c23_03,3) Abendessen,3) Souper,3) Cena,3) Dinner
c05_01,1) Zu Hause,1) À la maison,1) A casa,1) At home
c05_02,2) Bei jemand anderem,2) Chez quelqu’un d’autre,2) Da qualcun altro,2) At someone else's place
c05_03,3) Schulkantine,3) Réfectoire scolaire,3) Mensa scolastica,3) School canteen
c05_04,4) Kochkurs Schule,4) Cours de cuisine à l’école,4) Corso di cucina a scuola,4) Cooking class at school
c05_05,5) Take-away / Restaurant,5) Take-away / Restaurant,5) Take-away / Ristorante,5) Take-away / Restaurant
c05_06,6) Mitgebracht,6) Apporté,6) Portato da casa,6) Brought from home
c05_07,7) Anderes,7) Autre,7) Altro,7) Other
c09A_01,b) Obst,b) Fruits,b) Frutta,b) Fruit
c09A_02,a) Gemüse,a) Légumes,a) Verdura,a) Vegetables
c09A_03,l) Schokolade,l) Chocolat,l) Cioccolato,l) Chocolate
c09A_04,n) Süssigkeiten,n) Friandises,n) Dolci,n) Sweets
c09A_05,r) Salzige Snacks,r) Snacks salés,r) Snack salati,r) Salty snacks
c09A_06,q) Fast Food,q) Fast Food,q) Fast food,q) Fast food
c09A_07,o) Gezuckerte Milchprodukte,o) Produits laitiers sucrés,o) Latticini zuccherati,o) Sweetened dairy products
c09A_08,d) Käse,d) Fromage,d) Formaggio,d) Cheese
c09A_09,e) Fleisch,e) Viande,e) Carne,e) Meat
c09A_10,f) Verarbeitetes Fleisch,f) Viande transformée,f) Carne lavorata,f) Processed meat
c09A_11,g) Fisch,g) Poisson,g) Pesce,g) Fish
c09A_12,h) Meeresfrüchte,h) Fruits de mer,h) Frutti di mare,h) Seafood
c09A_13,i) Pflanzliche Alternativen,i) Alternatives végétales,i) Alternative vegetali,i) Plant-based alternatives
c09A_14,k) Nüsse/Samen,k) Noix/graines,k) Noci/semi,k) Nuts/seeds
c09A_15,m) Gebäck,m) Pâtisseries,m) Pasticceria,m) Pastries
c09A_16,c) Vollkorngetreide,c) Céréales complètes,c) Cereali integrali,c) Whole grains
c09A_17,p) Süsse Frühstücksflocken,p) Céréales sucrées pour le petit-déjeuner,p) Cereali dolci per la colazione,p) Sweet breakfast cereals
c09A_18,j) Hülsenfrüchte,j) Légumineuses,j) Legumi,j) Legumes
c09B_01,a) Wasser,a) Eau,a) Acqua,a) Water
c09B_02,c) Milch,c) Lait,c) Latte,c) Milk
c09B_03,d) Pflanzl. Getränke,d) Boissons végétales,d) Bevande vegetali,d) Plant-based drinks
c09B_04,b) Tee/Kaffee/Matcha/Mate,b) Thé/Café/Matcha/Maté,b) Tè/Caffè/Matcha/Matè,b) Tea/Coffee/Matcha/Maté
c09B_05,f) 100% Säfte,f) Jus 100%,f) Succhi 100%,f) 100% juices
c09B_06,g) Gezuckerte Getränke,g) Boissons sucrées,g) Bevande zuccherate,g) Sugary drinks
c09B_07,h) Gesüsste Getränke (Light/Zero),h) Boissons édulcorées (Light/Zero),h) Bevande light/zero,h) Sweetened drinks (Light/Zero)
c09B_08,i) Energydrinks,i) Boissons énergisantes,i) Energy drink,i) Energy drinks
c09B_09,e) Sportgetränke,e) Boissons pour le sport,e) Bevande sportive,e) Sports drinks
c09B_10,j) Bier (nur Jug.),j) Bière (jeunes uniquement),j) Birra (solo giovani),j) Beer (youth only)
c09B_11,k) Wein (nur Jug.),k) Vin (jeunes uniquement),k) Vino (solo giovani),k) Wine (youth only)
c09B_12,l) Hochprozentiges/Cocktails/Alcopops (nur Jug.),l) Spiritueux/Cocktails/Alcopops (jeunes uniquement),l) Superalcolici/Cocktail/Alcopop (solo giovani),l) Spirits/Cocktails/Alcopops (youth only)
