gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Mikrobiome und Lebensmittelsicherheit,Konsumentenverhalten und Konsumtrends,Gesellschaft,Technologie,Umwelt,Wirtschaft
91,0,1,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,1,0
125,0,0,0,0,0,0,1,3,0
126,0,0,1,0,0,0,1,2,0
127,0,0,0,0,0,0,0,1,0
143,0,0,0,0,0,0,0,1,0
165,0,0,0,0,0,0,0,0,1
166,0,0,0,0,0,0,0,2,0
180,0,0,0,0,0,0,0,2,0
187,0,1,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0
216,0,0,0,0,0,0,0,1,0
234,0,1,0,1,0,0,0,0,0
483,0,0,0,0,0,0,1,0,0
503,1,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,1,0
583,0,0,0,0,1,1,0,0,0
584,0,0,0,0,0,1,0,0,0
