matrix_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy
1,0,0,0,0,0,0,1,0,0,1
3,0,0,1,0,0,0,0,0,2,0
7,1,0,0,0,0,0,0,0,1,0
18,0,1,0,0,1,1,1,2,1,1
34,0,0,1,0,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,1,0
39,0,0,0,1,1,0,0,0,0,0
48,0,0,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,1,0
58,0,0,0,1,1,0,0,0,0,0
82,0,1,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,1,0
