gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
26,2,1,0,0,1,0,1,0,1,1,1,2,1
42,0,0,0,0,0,0,0,0,0,0,1,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,1,0,0
55,0,0,1,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0,0
61,0,0,0,0,1,0,0,0,0,0,1,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,2,0,0,0,0,0
66,0,0,0,0,0,0,3,0,0,0,0,0,0
69,0,1,0,0,0,0,1,0,0,0,0,0,0
79,0,0,0,0,0,1,0,0,0,0,0,0,0
80,1,0,0,0,0,0,1,0,0,0,0,0,0
91,1,4,8,1,0,3,2,0,2,0,9,1,5
96,0,2,0,0,0,0,0,0,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0,3,1,0,0,4,3,0,1,1,1,2,2
103,0,0,0,0,0,0,1,0,0,0,0,0,0
109,2,3,1,0,1,1,2,0,0,0,2,1,1
111,11,5,1,0,1,4,10,2,1,2,7,1,0
115,0,0,0,0,0,0,1,0,0,0,0,0,0
118,0,0,0,0,0,0,1,0,0,0,0,0,0
119,1,0,0,0,0,0,0,0,1,0,0,1,1
124,0,1,0,0,0,0,1,0,1,0,0,0,0
125,4,5,1,0,1,2,6,1,2,3,17,1,1
126,0,6,7,0,1,0,2,0,1,2,15,1,2
127,0,1,1,0,0,0,1,0,0,1,1,0,0
128,1,1,1,1,1,3,4,1,2,2,5,1,3
130,0,1,1,0,0,0,0,0,0,1,0,0,0
131,0,0,0,0,1,1,0,1,0,0,0,0,0
137,1,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,0,0,1,0,0,0,0,0,0
150,0,1,1,0,0,1,0,0,1,0,1,0,1
164,0,1,0,0,0,0,0,0,0,0,0,0,0
165,2,4,1,0,1,4,3,0,0,1,3,2,0
166,0,2,1,0,0,0,2,0,1,0,1,1,0
167,1,0,1,0,0,1,1,0,0,0,1,0,0
172,0,1,0,0,0,0,0,0,0,0,1,0,0
174,0,0,0,0,0,0,1,0,0,0,0,0,0
178,0,0,0,0,0,0,1,0,0,0,0,0,0
180,0,2,0,0,0,1,1,0,1,1,0,1,1
185,1,2,0,0,1,1,3,0,1,2,2,1,0
187,1,4,0,0,0,0,0,0,1,1,2,0,2
192,0,1,0,0,0,0,0,0,0,0,0,0,0
197,0,1,0,0,0,0,1,0,0,0,1,0,0
198,0,0,2,0,0,0,0,0,0,0,0,0,0
199,0,0,1,0,0,0,0,0,0,0,1,0,0
200,0,0,2,0,0,0,0,0,0,0,1,0,0
201,0,0,2,0,0,0,0,0,0,0,0,0,0
