gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,0,0,0,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,4,0,0
43,0,1,0,0,0,0,0,0,0,2,0,0
45,0,2,0,0,0,2,0,0,1,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,1,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,1,0,0
56,0,0,0,0,0,1,0,1,0,0,0,0
58,0,2,0,0,0,0,0,0,0,0,0,0
63,1,0,1,0,0,0,1,1,0,1,1,0
69,0,0,0,0,0,1,0,0,0,0,0,0
91,1,3,2,1,1,0,1,1,0,9,5,2
93,0,0,0,0,0,0,0,0,0,1,0,0
96,0,0,0,0,0,0,0,0,0,3,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,3,0,1,0,8,2,0
109,1,4,0,0,1,0,0,0,1,2,0,0
111,8,2,1,1,2,3,1,1,0,9,1,0
113,0,0,0,0,0,1,0,0,0,0,0,0
116,1,0,0,0,1,0,0,0,0,0,0,0
117,0,0,0,0,0,1,0,0,0,0,0,0
118,1,0,0,0,0,0,1,0,0,0,0,0
125,1,7,0,0,0,1,2,0,3,15,3,0
126,1,1,1,0,1,1,0,1,1,17,1,0
127,0,1,2,0,1,0,0,0,0,3,0,0
128,0,2,0,1,0,3,0,0,0,6,2,0
130,0,2,0,1,0,1,0,0,0,1,0,0
137,2,0,0,0,0,0,0,0,0,2,0,0
148,0,0,0,0,0,0,0,0,0,1,0,1
150,0,0,0,0,0,0,0,0,0,0,0,1
164,0,0,0,0,0,0,0,0,0,1,0,0
165,0,0,0,0,0,1,0,1,0,6,1,0
166,0,1,0,1,1,0,0,0,2,2,0,0
167,0,0,0,0,0,0,0,0,0,2,0,0
172,1,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,1,0,0
180,1,0,0,0,0,0,0,0,0,1,0,0
181,0,0,0,0,0,0,1,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,1,0,0
187,2,1,0,0,0,1,0,1,0,5,1,0
200,0,0,0,0,0,0,0,0,0,1,0,0
203,2,1,0,0,1,1,0,0,0,1,0,0
209,0,0,0,0,0,1,0,1,0,0,0,0
210,0,0,0,0,0,0,0,0,0,1,0,0
216,0,0,0,0,0,0,0,0,1,0,0,0
221,0,0,0,0,0,0,0,0,0,1,0,0
225,0,0,0,0,0,0,0,0,0,1,0,0
227,0,0,0,0,0,1,0,0,0,0,0,0
230,0,0,0,0,0,0,0,2,0,3,0,1
234,0,0,0,0,0,1,0,0,0,0,0,0
244,0,0,0,0,0,0,1,0,0,1,0,0
246,0,1,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,1,0,0
249,0,0,0,0,0,1,0,1,0,0,0,0
269,0,0,0,0,0,0,0,0,0,1,0,0
271,0,0,0,0,1,0,0,0,1,1,0,0
272,0,0,0,0,0,0,0,0,0,1,0,0
277,2,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,1,1,0
285,0,0,0,0,0,0,0,0,1,0,0,0
288,1,1,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,1,0,0,0,0,0,0
297,0,0,0,0,0,1,0,0,0,0,0,0
298,1,0,0,0,1,1,0,0,0,2,0,0
308,1,0,0,0,0,0,0,0,0,1,0,0
310,0,0,0,0,0,0,0,0,0,1,0,0
323,0,1,0,0,0,0,0,0,0,0,0,1
344,0,0,0,0,0,1,0,1,0,1,1,0
351,0,0,0,0,0,0,0,0,0,1,0,0
363,0,1,0,0,0,2,0,0,0,0,0,0
371,0,0,0,0,0,1,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,1,0,0
402,0,0,0,0,0,0,0,0,0,1,0,0
425,0,0,0,0,0,0,0,0,0,1,1,0
437,2,0,0,0,0,0,0,0,0,1,0,0
442,1,0,0,0,0,0,0,0,0,1,0,0
448,0,0,0,0,0,1,0,0,0,0,0,0
450,0,0,0,0,0,2,0,0,0,1,0,1
453,0,0,0,0,0,0,0,0,0,1,0,0
461,0,0,0,0,0,2,0,0,0,0,0,0
465,0,0,0,0,0,1,0,0,0,0,0,0
466,0,0,0,0,0,1,0,0,0,0,0,0
468,0,0,0,0,1,0,0,0,1,1,0,0
473,1,0,0,0,0,0,0,0,0,1,0,0
474,1,0,0,0,1,1,0,0,0,1,0,0
483,0,1,1,0,1,0,0,0,0,1,0,0
499,1,0,0,0,0,0,0,0,0,1,0,0
500,0,0,0,0,0,0,0,0,0,1,0,0
503,3,0,0,0,1,2,0,0,0,2,0,0
505,0,1,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,1,0,0,0,0,0,0
516,0,0,0,0,0,0,0,1,0,0,0,0
518,0,2,0,0,0,0,1,0,1,8,1,0
522,0,0,0,0,0,1,0,0,0,0,0,0
525,1,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,1,0,0
533,1,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,1,1,0,1,0
536,0,0,0,0,0,1,0,0,0,0,0,0
537,0,1,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,1,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0,0
542,0,1,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,1,0,0
548,0,2,0,0,0,0,0,0,1,1,0,0
550,0,0,0,0,0,0,0,0,0,1,0,0
551,0,0,0,0,0,0,0,0,0,1,0,0
552,0,0,0,0,0,0,0,0,0,1,0,0
553,0,0,0,0,0,0,0,0,0,1,0,0
554,0,0,0,0,0,1,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,1,0,0
557,0,0,0,0,0,0,0,0,0,1,0,0
558,0,0,0,0,0,0,0,0,0,1,0,0
562,0,0,0,0,0,0,0,0,0,1,0,0
563,0,0,0,0,0,0,0,0,0,0,1,0
564,0,0,0,0,0,0,0,0,0,1,0,0
566,0,0,0,0,0,1,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,1,0,0
