steckbrief_id,Climate change,Technological innovations and scientific advances,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
8,1,2,1,0,0,2,0,0,4,15,2,0
20,0,0,0,0,0,0,0,0,1,0,0,0
21,0,1,0,0,0,0,1,0,1,6,1,0
25,0,0,0,0,0,1,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,0,0,0
34,7,1,0,0,1,2,0,0,0,3,0,0
35,0,1,0,0,0,0,0,0,0,2,0,0
36,6,0,0,0,0,0,0,0,0,0,0,0
47,0,1,0,1,0,0,0,0,0,0,0,0
49,0,0,0,0,0,1,0,0,0,0,0,0
51,0,0,0,0,1,3,0,1,0,0,0,0
63,0,1,0,0,0,1,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0
83,0,1,0,0,0,0,0,0,0,1,0,0
85,0,0,0,0,0,0,0,0,1,0,0,0
86,0,0,0,0,0,1,0,0,0,2,0,0
87,0,0,0,0,0,2,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,1,0,0
126,0,0,0,0,0,0,0,1,0,2,0,0
128,0,0,1,0,0,0,0,0,0,0,0,0
136,1,0,0,0,1,0,0,0,0,0,0,0
147,0,0,0,0,1,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0,0,0,1,0,0
188,0,0,0,0,0,0,0,1,0,6,0,1
210,0,0,0,0,0,0,0,0,0,1,0,0
211,0,0,0,0,1,3,0,1,0,0,0,0
220,0,0,0,0,0,0,0,0,0,3,1,0
222,0,0,0,0,0,1,0,0,0,0,0,0
227,1,0,0,0,0,0,0,0,0,1,0,0
234,0,0,0,0,0,0,0,1,1,7,1,0
238,0,1,0,0,0,0,0,0,0,0,0,0
251,0,0,1,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,1,0,0,0,1,1,0
267,0,0,0,0,0,0,1,0,0,0,0,0
273,0,0,0,0,0,1,0,0,0,0,0,0
277,0,1,0,0,0,1,0,0,1,0,0,0
279,0,0,0,0,0,0,0,0,1,1,0,0
294,0,0,0,0,0,0,0,0,0,0,1,0
295,0,0,0,0,0,0,0,0,0,0,1,0
297,0,0,0,0,0,0,0,1,0,0,0,0
298,0,0,0,0,0,0,0,0,0,1,0,0
301,0,0,0,0,0,0,0,1,0,0,0,0
