steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Comportamento dei consumatori e tendenze di consumo,Società,Ecologia,Economia
8,0,0,0,0,0,0,2,0
21,0,0,0,0,0,0,2,0
34,1,0,0,0,1,0,2,0
35,0,0,0,0,0,0,1,0
36,2,0,2,0,0,1,2,1
51,0,0,0,0,1,0,0,0
125,0,1,0,0,0,0,0,0
143,0,1,0,1,0,0,0,0
160,0,0,0,0,0,0,1,0
205,0,0,0,0,1,0,0,0
210,0,0,0,0,0,0,1,0
234,0,0,0,0,0,0,2,0
238,0,1,0,0,0,0,0,0
259,0,0,0,0,0,0,2,0
289,0,1,0,0,0,0,0,0
