steckbrief_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
8,2,3,0,0,0,2,4,0,2,3,15,0,1
21,1,2,0,0,0,0,1,0,0,0,4,0,0
25,0,0,0,0,0,5,3,0,1,0,0,1,0
27,0,0,0,0,1,0,3,0,0,0,0,0,0
30,0,0,0,0,0,0,1,0,0,0,1,0,0
34,6,2,0,0,0,1,4,0,0,0,4,0,0
35,0,1,0,0,0,0,1,0,0,1,0,0,1
36,5,1,0,1,1,1,2,0,1,1,3,2,1
51,1,3,0,0,1,5,6,0,2,3,2,1,0
59,0,1,0,0,0,2,1,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,1,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,1,0,0
75,3,0,0,0,0,0,0,0,0,0,1,0,0
83,0,1,0,0,0,0,2,0,1,1,2,0,0
86,1,0,0,0,0,0,1,0,0,1,1,0,0
93,1,0,0,0,0,0,4,0,0,0,0,0,0
95,0,1,0,0,0,2,5,0,1,2,0,0,1
108,0,0,0,0,0,1,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,1,0,0,1,0,0
126,0,0,0,0,0,0,0,0,0,0,1,0,0
127,0,0,0,0,0,1,0,0,1,0,0,0,0
135,0,0,0,0,0,0,1,0,0,1,1,0,0
140,0,0,0,0,0,1,2,0,0,1,0,0,1
143,0,0,0,0,0,1,0,0,1,0,0,0,0
147,1,1,0,0,1,0,1,0,0,1,1,1,0
150,0,0,0,0,0,0,1,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,1,0,0
188,0,0,0,0,0,0,0,0,0,0,1,0,0
211,1,0,0,0,0,0,1,0,0,0,0,0,0
220,0,2,0,0,1,0,2,0,1,1,5,1,0
222,0,1,0,0,0,0,1,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,1
225,0,0,0,1,0,0,0,0,0,0,0,1,0
231,0,0,0,0,0,0,1,0,0,0,0,0,0
233,0,0,0,0,0,0,2,0,0,0,0,0,0
234,0,4,1,0,0,0,2,0,1,1,7,1,0
235,0,0,0,0,0,1,1,0,0,1,0,0,1
242,0,0,0,0,0,0,1,0,0,0,0,0,0
250,0,1,0,0,0,0,0,0,0,1,1,0,0
251,0,0,0,0,0,0,0,0,0,1,1,0,0
256,0,0,0,0,0,1,0,0,0,0,0,0,0
259,0,0,0,1,0,0,0,0,1,0,0,2,1
264,0,1,0,0,0,0,1,0,0,0,1,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0,0
273,0,0,0,0,0,0,3,0,0,0,0,0,0
277,0,0,0,0,0,0,2,0,0,0,0,0,0
