matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia
1,0,0,0,0,0,0,1,0,0,1
3,0,0,1,0,0,0,0,0,2,0
7,1,0,0,0,0,0,0,0,1,0
18,1,1,0,0,1,1,1,2,2,1
34,0,0,1,0,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,1,0
39,0,0,0,1,1,0,0,0,0,0
48,0,0,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,1,0
58,0,0,0,1,1,0,0,0,0,0
82,0,1,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,1,0
