gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Microbiomi e sicurezza alimentare,Comportamento dei consumatori e tendenze di consumo,Società,Tecnologia,Ecologia,Economia
91,0,1,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,2,0
125,0,0,0,0,0,0,1,3,0
126,0,0,1,0,0,0,1,2,0
127,0,0,0,0,0,0,0,1,0
143,0,0,0,0,0,0,0,1,0
165,0,0,0,0,0,0,0,0,1
166,0,0,0,0,0,0,0,2,0
180,0,0,0,0,0,0,0,2,0
187,0,1,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0
216,0,0,0,0,0,0,0,1,0
234,0,1,0,1,0,0,0,0,0
288,0,0,0,0,0,0,0,1,0
289,0,0,0,0,0,0,0,1,0
483,0,0,0,0,0,0,1,0,0
503,1,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,1,0
583,0,0,0,0,1,1,0,0,0
584,0,0,0,0,0,1,0,0,0
