steckbrief_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
4,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2,10,0,1,1,2,8,1,3,5,24,1,2
9,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,1,0,0,0,0,0
21,1,5,0,0,0,0,1,0,0,1,6,0,0
25,0,0,0,0,0,5,4,0,1,0,0,1,0
27,0,0,0,0,1,0,4,0,0,0,0,0,0
30,2,1,0,0,0,0,1,0,0,0,1,0,0
34,15,6,0,0,0,2,6,3,0,0,10,0,0
35,0,7,0,0,0,3,1,1,0,2,1,0,1
36,17,1,2,1,1,1,2,0,2,1,10,4,1
48,0,0,0,0,0,0,0,1,0,0,0,0,0
51,1,5,0,0,1,5,10,0,2,3,2,1,0
54,0,2,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,0,0,0
59,0,1,0,0,0,3,1,0,0,0,0,0,0
63,0,1,0,0,0,0,1,0,0,1,0,0,0
64,0,0,0,0,0,0,1,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0,0,0
72,0,1,0,0,0,0,0,0,0,0,1,0,0
75,4,0,0,0,0,0,0,0,0,0,1,0,0
83,0,4,4,1,0,0,2,0,1,2,5,0,0
85,0,2,0,0,0,0,0,0,0,0,0,0,0
86,3,0,0,0,0,0,1,0,0,1,4,0,0
91,0,1,0,0,0,0,0,0,0,0,1,0,1
93,1,2,0,0,0,0,7,0,0,0,0,0,0
95,0,1,0,0,0,3,5,0,1,2,0,0,1
103,0,2,0,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,1,0,0,1,1
108,0,0,0,0,0,1,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,1,0,0,1,0,0
117,0,1,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,1,0,0,0,0,0,0,0
125,0,3,0,0,0,0,0,0,0,0,0,0,0
126,0,0,3,0,0,0,0,0,0,0,2,0,0
127,0,0,0,0,0,1,0,0,1,0,0,0,0
128,0,3,0,0,0,1,0,0,0,0,0,0,0
135,0,0,0,0,0,0,2,0,0,1,1,0,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
140,0,1,0,0,1,2,4,0,1,1,0,0,2
142,0,1,0,0,0,0,1,0,0,0,0,0,0
143,0,1,0,2,0,1,1,0,1,0,0,0,0
147,1,3,0,0,1,2,2,0,0,1,1,1,0
148,0,0,0,0,0,0,1,0,0,0,0,0,0
150,0,0,0,0,0,0,1,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,1,0,0
165,3,0,0,0,0,0,0,0,0,0,2,0,0
180,0,3,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,1,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,1,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0
196,0,0,1,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,1,0,0,0,0,0,0
209,0,0,0,0,0,0,1,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,1,0,0
211,1,0,0,0,0,0,4,0,0,0,0,0,0
212,0,0,0,0,0,2,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,1,0,0,1,1
216,0,0,0,0,0,0,2,0,0,0,0,0,0
217,0,1,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,1,0,0,0,0,0
220,1,4,3,0,1,0,2,0,1,1,9,1,1
222,0,1,0,0,0,0,2,0,0,0,1,0,0
223,0,1,0,0,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,1,0,0,1,2
225,1,0,0,1,0,0,0,0,1,0,0,2,1
227,1,0,0,0,0,0,0,0,0,0,1,0,0
231,0,0,0,0,0,0,2,0,0,0,0,0,0
233,0,0,0,0,0,0,3,0,0,0,0,0,0
234,0,5,5,0,0,1,2,0,3,1,16,1,0
235,0,0,0,0,0,1,1,0,0,1,0,0,1
237,0,0,0,0,0,0,0,1,0,0,0,0,0
238,0,3,0,0,0,0,0,0,0,1,0,0,0
241,0,1,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,3,0,0,0,0,0,0
243,0,0,0,1,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,1,0,0,0,0,0,0
250,0,2,0,0,0,0,0,0,0,1,2,0,0
251,0,2,0,1,0,0,0,0,0,2,1,0,1
252,0,0,0,0,0,2,0,0,0,0,0,0,0
256,0,0,0,0,0,1,0,0,0,0,0,0,0
259,0,1,0,1,0,0,0,0,1,0,3,2,1
263,0,0,0,0,0,0,1,0,0,0,0,0,0
264,0,1,0,0,0,0,1,0,0,0,1,0,0
265,0,0,0,0,0,0,2,0,0,0,0,0,0
273,0,0,0,0,0,0,6,0,0,0,0,0,0
277,0,1,0,0,0,0,5,0,0,0,0,0,0
281,0,0,0,0,0,0,1,0,0,0,0,0,0
289,0,1,0,0,0,0,0,0,0,0,0,0,0
