gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Microbiomes et sécurité alimentaire,Comportement des consommateurs et tendances de consommation,Société,Technologie,Ecologie,Économie
91,0,1,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,2,0
125,0,0,0,0,0,0,1,3,0
126,0,0,1,0,0,0,1,2,0
127,0,0,0,0,0,0,0,1,0
143,0,0,0,0,0,0,0,1,0
165,0,0,0,0,0,0,0,0,1
166,0,0,0,0,0,0,0,2,0
180,0,0,0,0,0,0,0,2,0
187,0,1,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0
216,0,0,0,0,0,0,0,1,0
234,0,1,0,1,0,0,0,0,0
284,0,0,0,0,0,1,0,0,1
285,0,0,0,0,0,1,0,0,1
288,0,0,0,0,0,0,0,1,0
289,0,0,0,0,0,0,0,1,0
483,0,0,0,0,0,0,1,0,0
503,1,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,1,0
583,0,0,0,0,1,1,0,0,0
584,0,0,0,0,0,1,0,0,0
