gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,0,0,0,0,0,1,1,0,0,0,0,0
26,2,1,0,0,1,0,1,0,1,1,1,2,1
42,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0,1,0,0,0,0,1,0,0,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,1,0,0
55,0,0,1,0,0,0,0,0,0,0,0,0,0
58,0,1,0,0,0,0,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0,0
61,0,0,0,0,1,0,0,0,0,0,1,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,3,0,0,0,0,0
66,0,0,0,0,0,0,3,0,0,0,0,0,0
69,0,1,0,0,0,0,2,0,0,0,0,0,0
79,0,0,0,0,0,1,0,0,0,0,0,0,0
80,1,0,0,0,0,0,1,0,0,0,0,0,0
91,1,4,9,1,0,3,2,1,2,0,12,3,6
93,0,0,0,0,1,0,1,0,0,0,0,0,0
96,0,2,0,0,0,0,0,0,0,0,1,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0
102,2,3,1,0,0,4,6,0,1,1,7,2,2
103,0,0,0,0,0,0,1,0,0,0,0,0,0
109,3,6,1,0,1,2,2,0,0,1,3,1,1
111,17,6,1,0,1,5,12,3,1,2,11,1,0
115,0,0,0,0,0,0,2,0,0,0,0,0,0
118,1,0,0,0,0,0,1,1,0,0,0,0,0
119,1,0,0,0,0,0,1,0,1,0,0,1,1
124,0,1,0,0,0,0,1,0,1,0,0,0,0
125,5,11,1,0,2,2,8,3,3,5,23,2,2
126,2,7,10,0,1,1,2,0,3,2,26,1,3
127,0,2,4,0,0,1,1,0,0,1,4,0,0
128,3,2,1,1,1,3,5,1,2,2,11,1,3
130,0,1,1,1,0,0,0,0,0,1,1,0,0
131,0,0,0,0,1,1,0,1,0,0,0,0,0
137,3,0,0,0,0,0,0,0,0,0,2,0,0
142,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,1,0,0,0,0,1,0,0,0,1,0,1
