gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
42,0,0,0,0,0,0,0,0,1,0,5,0,0
43,0,0,0,0,0,0,0,0,0,0,2,0,0
45,0,2,0,0,0,0,1,0,0,1,0,0,0
46,1,0,0,0,0,0,0,0,0,0,1,0,0
49,0,0,0,0,0,0,2,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,1,0,1,0,0
56,0,0,0,0,0,0,1,0,1,0,1,0,0
58,0,1,0,0,0,0,0,0,0,0,0,0,0
63,1,1,1,0,0,0,0,0,1,0,1,1,0
90,0,0,0,0,0,0,0,1,0,0,0,0,0
91,1,6,1,2,0,1,0,1,1,0,11,4,1
93,0,0,0,0,0,0,0,1,0,0,2,0,0
96,0,0,0,0,0,0,0,0,0,0,2,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,3,0,1,0,7,1,0
106,0,0,0,0,0,0,0,0,0,1,0,0,0
109,0,1,0,0,0,0,0,0,0,0,1,0,0
111,10,2,1,1,0,2,3,0,1,0,7,1,0
113,0,0,0,0,0,0,1,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,1,0,0,0
116,1,0,0,0,0,1,0,0,0,0,0,0,0
117,0,0,0,0,0,0,1,0,0,0,0,0,0
125,2,3,0,1,0,0,2,0,0,3,19,2,0
126,0,2,1,0,0,0,2,0,2,3,17,1,0
127,0,0,0,0,0,0,0,0,0,0,3,0,0
128,0,1,0,1,0,0,3,0,0,0,4,2,0
130,0,2,0,0,0,0,1,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,1,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,1
165,0,0,0,0,0,0,1,0,1,0,7,1,0
166,0,1,0,0,0,1,0,0,0,2,3,0,0
167,0,0,0,0,0,0,1,0,0,0,5,0,0
172,1,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,1,0,0
180,1,0,0,1,0,0,0,0,0,0,3,0,0
181,0,0,0,0,0,0,0,1,0,0,0,0,0
187,1,2,0,0,0,0,2,0,1,0,4,0,1
197,0,0,0,0,0,0,0,0,0,1,0,0,0
200,0,0,0,0,0,0,0,0,0,0,1,0,0
203,1,1,0,0,0,0,0,0,0,0,1,0,0
209,0,0,0,0,0,0,1,0,1,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,1,0,0
214,0,0,0,0,0,0,0,0,0,0,1,0,0
216,0,0,0,0,0,0,0,0,0,1,1,0,0
221,0,0,0,0,0,0,0,0,0,0,1,0,0
230,0,0,0,0,0,0,0,0,0,1,1,0,0
234,0,1,0,0,1,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,2,0,0,2,0,0
246,0,1,0,0,0,0,1,0,0,0,1,0,0
248,0,0,0,1,0,0,0,0,0,0,1,0,0
249,0,0,0,0,0,0,1,0,1,0,0,0,0
269,0,0,0,0,0,0,0,0,0,1,0,0,0
284,0,0,0,0,0,0,0,0,1,0,0,1,0
