gefahr_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,0,0,0,0,0,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0,1,0,0,0,0,1,0,0,0,2,0,0
45,0,0,0,0,0,0,1,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0
58,0,2,0,0,0,0,0,0,0,0,0,0,0
63,1,0,1,0,0,0,0,1,1,0,1,1,0
69,0,0,0,0,0,0,1,0,0,0,0,0,0
91,1,3,2,1,0,0,0,1,1,0,8,4,1
93,0,0,0,0,1,0,0,0,0,0,1,0,0
96,0,0,0,0,0,0,0,0,0,0,3,0,0
102,1,0,0,0,0,0,3,0,0,0,9,2,0
109,1,3,0,0,0,1,0,0,0,1,2,0,0
111,8,3,1,1,0,1,4,1,1,0,9,1,0
113,0,0,0,0,0,0,1,0,0,0,0,0,0
115,0,0,0,0,0,0,1,0,0,0,0,0,0
118,1,0,0,0,0,0,0,1,0,0,0,0,0
125,1,7,0,0,1,0,2,2,1,2,12,1,1
126,2,1,3,0,0,1,0,0,2,0,17,1,1
127,0,1,3,0,0,1,0,0,0,0,4,0,0
128,1,2,0,1,0,0,1,0,0,0,7,1,0
130,0,0,0,1,0,0,1,0,0,0,1,0,0
137,2,0,0,0,0,0,0,0,0,0,2,0,0
148,0,0,0,0,0,0,0,0,0,0,1,0,1
164,0,0,0,0,0,0,0,0,0,0,1,0,0
165,0,0,0,0,0,0,4,0,0,0,7,1,0
166,0,0,0,1,0,0,1,0,0,1,3,0,0
167,0,0,0,0,0,0,1,0,0,0,3,0,0
172,1,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,1,0,0
182,0,0,0,0,0,0,0,0,0,0,1,0,0
187,1,1,0,0,0,0,3,0,0,0,7,1,1
203,2,1,0,0,0,1,1,0,0,0,1,0,0
210,0,0,0,0,0,0,0,0,0,0,1,0,0
216,0,0,0,0,0,0,0,0,0,1,0,0,0
225,0,0,0,0,0,0,1,0,0,0,1,0,0
227,0,0,0,0,0,0,1,0,0,0,0,0,0
228,0,0,0,0,1,0,0,0,0,0,0,0,0
230,0,1,0,0,0,0,0,0,2,0,3,0,1
234,0,0,0,0,0,0,1,0,0,0,0,0,0
246,0,1,0,0,0,1,1,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,1,0,0
271,0,0,0,0,0,1,0,0,0,1,1,0,0
272,0,0,0,0,0,0,0,0,0,0,1,0,0
273,0,0,0,0,0,0,1,0,0,0,0,0,0
277,2,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,1,1,0
285,0,0,0,0,0,0,0,0,0,1,0,0,0
288,1,1,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,1,0,0,0,0,0,0
298,1,0,0,0,0,1,1,0,0,0,2,0,0
306,0,0,0,0,0,0,1,0,0,0,0,0,0
308,1,0,0,0,0,0,0,0,0,0,1,0,0
310,0,0,0,0,0,0,0,0,0,0,1,0,0
323,0,1,0,0,0,0,0,0,0,0,0,0,1
344,0,0,0,0,0,0,0,0,0,0,1,1,0
345,0,1,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,1,0,0
363,0,1,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,1,0,0
371,0,0,0,0,0,0,1,0,0,0,0,0,0
379,0,0,0,0,0,1,1,0,0,0,0,0,0
400,0,1,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,1,0,0,0,1,0,0
422,0,0,0,0,0,0,1,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,1,1,0
432,0,0,0,0,0,0,1,0,0,0,0,0,0
437,2,0,0,0,0,0,0,0,0,0,1,0,0
442,1,0,0,0,0,0,0,0,0,0,1,0,0
448,0,0,0,0,0,0,1,0,0,0,0,0,0
450,0,0,0,0,0,0,2,0,0,0,1,0,1
453,0,0,0,0,0,0,0,0,0,0,1,0,0
465,0,0,1,0,0,0,0,0,1,0,0,0,0
468,0,0,0,0,0,1,0,0,0,1,1,0,0
471,0,0,0,0,0,0,1,0,0,0,0,0,0
473,1,0,0,0,0,0,0,0,0,0,1,0,0
474,1,0,0,0,0,1,1,0,0,0,1,0,0
475,0,1,0,0,0,0,0,0,0,0,0,0,0
478,0,1,0,0,0,0,1,0,0,0,0,0,0
479,0,1,0,0,0,0,0,0,0,0,0,0,0
480,0,1,0,0,0,0,0,0,0,0,0,0,0
481,0,1,0,0,0,0,0,0,0,0,0,0,0
482,0,1,0,0,0,0,0,0,0,0,0,0,0
483,0,1,1,0,0,1,0,0,0,0,2,0,0
489,0,1,0,0,0,1,0,0,0,0,0,0,0
490,0,0,0,0,0,1,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,1,0,0
492,0,0,0,0,0,0,1,0,0,0,0,0,0
493,0,0,1,0,0,0,0,0,1,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0,1,0,0
500,0,0,0,0,0,0,0,0,0,0,1,0,0
503,3,0,0,0,0,1,1,0,0,0,2,0,0
505,0,1,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,1,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,1,0,0,0,0
518,0,1,0,0,0,0,0,1,0,0,6,0,0
522,0,0,0,0,0,0,1,0,0,0,0,0,0
525,1,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0,1,0,0
533,1,0,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,1,1,0,1,0
536,0,0,0,0,0,0,1,0,0,0,0,0,0
537,0,1,0,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,1,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0,0,0
542,0,1,0,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,1,0,0
548,0,0,0,0,0,0,0,0,0,0,1,0,0
550,0,0,0,0,0,0,0,0,0,0,1,0,0
