Kategorie_DE,Kategorie_FR,Kategorie_IT,Kategorie_EN,Subkategorie_DE,Subkategorie_FR,Subkategorie_IT,Subkategorie_EN,Anzahl,Betrag_CHF
Risikoanalyse,Analyse des risques,Analisi del rischio,Risk analysis,"A1 Beurteilung von Verfahren oder Managementsystemen entlang der Lebensmittelkette, z. B. tierfreundlichere Haltungssysteme, neue LM-Herstellungsverfahren ",Évaluation de procédures ou de systèmes de gestion tout au long de la chaîne alimentaire,Valutazione di processi o sistemi di gestione lungo la catena alimentare,Assessment of procedures or management systems along the food chain,15,2609000
Risikoanalyse,Analyse des risques,Analisi del rischio,Risk analysis,"A2 Entwicklung und Validierung von Analytischen Methoden, z. B. für Diagnostik oder Rückstandsanalyse",Développement et validation de méthodes analytiques,Sviluppo e validazione di metodi analitici,Development and validation of analytical methods,25,6007000
Risikoanalyse,Analyse des risques,Analisi del rischio,Risk analysis,A3 Monitoring; Erstellen der Datenbasis für die Beurteilung von bestimmten Situationen.,Monitoring ; création de la base de données pour l'évaluation de situations spécifiques,Monitoraggio; creazione di un database per la valutazione di situazioni specifiche.,Monitoring; creation of a database for the assessment of specific situations,17,2882000
Risikoanalyse,Analyse des risques,Analisi del rischio,Risk analysis,"A4 Wissensbasis für Sicherheits- und Risikobeurteilung erarbeiten und aktualisieren, Analyse der Datenbasis","Elaborer et actualiser la base de connaissances pour l'évaluation de la sécurité et des risques, analyse de la base de données","Sviluppo e aggiornamento della base di conoscenze per la sicurezza e la valutazione del rischio, analisi della banca dati.","Development and updating of a knowledge base for safety and risk assessment, analysis of the database",21,3136000
Risikobewertung,Évaluation des risques,Valutazione del rischio,Risk assessment,"B1 Unterstützung der Vollzugsorgane und der Betriebe durch Richtlinien, Erlass von technischen Weisungen, Leitfäden, Merkblätter, Beratung","Soutien des organes d'exécution et des entreprises par des directives, l'édiction de directives techniques, de guides, de fiches techniques, de conseils","Supporto agli organismi preposti all'applicazione della legge e alle aziende attraverso linee guida, emanazione di direttive tecniche, linee guida, schede informative, consulenza.","Support for enforcement bodies and businesses through guidelines, issuing of technical directives, guides, fact sheets, advice",16,2215000
Risikobewertung,Évaluation des risques,Valutazione del rischio,Risk assessment,"B2 neues Recht, z. B. neue Höchstwerte festlegen, Anpassung von Verordnungen, Erlass von Weisungen, Vorschlag von Gesetzesänderungen","Nouveau droit, p. ex. fixer de nouvelles valeurs maximales, adapter des ordonnances, édicter des directives, proposer des modifications de la loi","Nuova legislazione, ad esempio fissando nuovi livelli massimi, adattando le ordinanze, emanando direttive, proponendo modifiche alla legislazione.","New legislation, e.g. setting new maximum levels, amending ordinances, issuing directives, proposing legislative amendments",1,0
Risikobewertung,Évaluation des risques,Valutazione del rischio,Risk assessment,"B3 Früherkennung, Überwachung und Bekämpfung von Gefahren (wie z. B. Tierseuchen, Fehlernährung)","Détection précoce, surveillance et lutte contre les dangers (comme les épizooties, la malnutrition).","Individuazione precoce, monitoraggio e lotta ai pericoli (ad esempio, malattie degli animali, malnutrizione).","Early detection, monitoring and combating of hazards (e.g. animal diseases, malnutrition)",19,6179000
Risikokommunikation,Communication sur les risques,Comunicazione del rischio,Risk communication,"C1 Ergebnisse werden bestimmten Zielgruppen (Konsumenten, Hersteller, Tierhaltende) präsentiert.","Présentation des résultats à certains groupes cibles (consommateurs, producteurs, éleveurs).","Presentazione dei risultati a gruppi target specifici (consumatori, produttori, allevatori)","Results are presented to specific target groups (consumers, manufacturers, animal owners)",8,1467000
Risikokommunikation,Communication sur les risques,Comunicazione del rischio,Risk communication,C2 Publikation in der Fachpresse,Publication dans la presse spécialisée,Pubblicazione sulla stampa specializzata,Publication in the trade press,4,934000
Risikokommunikation,Communication sur les risques,Comunicazione del rischio,Risk communication,C3 Kommunikation von Früherkennungsergebnissen,Communication des résultats de la détection précoce,Comunicazione dei risultati della diagnosi precoce,Communication of early detection results,0,0
weitere Forschung,autres recherches,ulteriore ricerca,Further research,D1 Ergebnisse sind Basis für Nachfolgeprojekt,Les résultats servent de base au projet de suivi,I risultati costituiscono la base per progetti di follow-up,Results form the basis for follow-up projects,7,2183000
