steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Società,Tecnologia,Ecologia,Economia,Politica
25,0,0,0,0,1,2,0,0,0,0,0
27,0,0,0,1,0,0,0,0,0,0,0
36,2,1,1,1,1,2,1,1,2,2,1
51,1,2,0,1,0,3,1,1,1,1,0
64,0,0,0,0,0,1,0,0,0,0,0
95,0,0,0,0,0,1,0,0,0,0,0
147,1,1,0,1,0,1,0,1,1,1,0
209,0,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,0,2,0,0,0,0,0
222,0,0,0,0,0,1,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0
