gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia
23,0,0,0,0,0,0,1,0,0,2,0
26,1,1,0,1,0,1,0,0,1,1,1
61,0,0,0,1,0,0,0,0,0,0,0
78,0,0,0,0,1,0,1,0,0,2,0
109,1,0,1,1,0,1,0,0,0,1,1
111,1,0,1,1,0,1,0,0,0,1,1
125,1,0,1,1,0,1,0,0,0,1,1
128,0,0,0,1,1,0,1,0,0,0,0
131,0,0,0,1,1,0,1,0,0,0,0
142,0,0,0,0,0,1,0,0,0,0,0
165,1,1,0,1,0,1,0,0,1,1,1
185,1,1,0,1,0,1,0,0,1,1,1
261,1,1,0,1,0,1,0,0,1,1,1
297,0,0,0,0,1,1,0,1,0,0,0
338,1,1,0,1,0,1,0,0,1,1,1
341,1,1,0,1,0,1,0,0,1,1,1
352,0,0,0,1,0,0,0,0,0,0,0
365,0,0,0,1,0,0,0,0,0,0,0
366,0,0,0,1,0,0,0,0,0,0,0
376,0,0,0,1,0,0,0,0,0,0,0
442,1,0,1,1,0,1,0,0,0,1,1
443,1,0,1,1,0,1,0,0,0,1,1
543,0,0,0,0,0,0,1,0,0,0,0
554,0,0,0,0,0,1,0,0,0,0,0
