id|type|date|page_count|link|info|meldung_id|publikation_id|erf_date|erf_user|mut_date|mut_user|version|Dates_erf_date|Dates_mut_date
1|10|2022|3|www||1|1|2022-08-09T16:30:29|33|2022-08-09T16:30:29|33|0|2022-08-09|2022-08-09
2|20|||www||1|1|2022-08-09T16:30:29|33|2022-08-09T16:30:29|33|0|2022-08-09|2022-08-09
3|30|||www|info|1||2022-08-09T16:30:29|33|2022-08-09T16:30:29|33|0|2022-08-09|2022-08-09
5|10|10.08.2022|2|https://www.blick.ch/ausland/covid-aehnlicher-erreger-uebertraegt-sich-vom-tier-auf-mensch-ausbruch-von-neuartigem-virus-in-china-id17774559.html||3|6|2022-08-11T07:50:36|84|2022-08-11T07:50:36|84|0|2022-08-11|2022-08-11
6|20|||https://www.nejm.org/doi/full/10.1056/NEJMc2202705||3|7|2022-08-11T07:50:36|84|2022-08-11T07:50:36|84|0|2022-08-11|2022-08-11
7|10|02.08.2022|1|https://www.lshtm.ac.uk/newsevents/news/2022/junk-food-advertising-restrictions-prevent-almost-100000-obesity-cases-and||4|9|2022-08-12T07:27:02|84|2022-08-12T07:27:02|84|0|2022-08-12|2022-08-12
8|20|||https://ijbnpa.biomedcentral.com/articles/10.1186/s12966-022-01331-y#citeas||4|8|2022-08-12T07:27:02|84|2022-08-12T07:27:02|84|0|2022-08-12|2022-08-12
9|10|08.08.2022|1|https://www.food-safety.com/articles/7928-study-explores-temporal-implications-of-campylobacter-prevalence-of-poultry-human-outbreaks||5|10|2022-08-12T07:56:34|84|2022-08-12T07:56:34|84|0|2022-08-12|2022-08-12
10|20|||https://www.sciencedirect.com/science/article/pii/S0168160522002951||5|11|2022-08-12T07:56:34|84|2022-08-12T07:56:34|84|0|2022-08-12|2022-08-12
11|10|11.08.2022|2|https://theconversation.com/vegetarian-women-have-33-greater-risk-of-hip-fracture-here-are-three-things-you-can-do-to-reduce-your-risk-187898?utm_medium=email&utm_campaign=Latest%20from%20The%20Conversation%20for%20August%2012%202022%20-%202372523674&utm_||6|12|2022-08-12T08:15:35|84|2022-08-12T08:15:35|84|0|2022-08-12|2022-08-12
12|20|||https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02468-0||6|13|2022-08-12T08:15:35|84|2022-08-12T08:15:35|84|0|2022-08-12|2022-08-12
14|10|11.08.2022|2|https://eu.usatoday.com/story/money/food/2022/08/11/beverage-recall-expanded-botulism-threat-ensure-pediasure/10300835002/||7|14|2022-08-12T08:36:14|36|2022-08-12T08:36:14|36|0|2022-08-12|2022-08-12
15|20|||https://www.prnewswire.com/news-releases/lyons-magnus-expands-voluntary-recall-to-include-additional-nutritional-and-beverage-products-due-to-the-potential-for-microbial-contamination-301603639.html||7|15|2022-08-12T08:36:14|36|2022-08-12T08:36:14|36|0|2022-08-12|2022-08-12
16|20|||https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lyons-magnus-voluntarily-recalls-53-nutritional-and-beverage-products-due-potential-microbial||7|16|2022-08-12T08:36:14|36|2022-08-12T08:36:14|36|0|2022-08-12|2022-08-12
17|10|10.08.2022|1|https://www.food-safety.com/articles/7932-fda-releases-pesticide-residue-report-for-fy-2020||8|10|2022-08-12T08:58:59|84|2022-08-12T08:58:59|84|0|2022-08-12|2022-08-12
18|20|||https://www.fda.gov/media/160464/download||8|16|2022-08-12T08:58:59|84|2022-08-12T08:58:59|84|0|2022-08-12|2022-08-12
19|10|13.08.2022|1|http://outbreaknewstoday.com/norway-salmonella-outbreak-linked-to-watermelon-75467/||9|17|2022-08-15T06:57:51|84|2022-08-15T06:57:51|84|0|2022-08-15|2022-08-15
22|10|13.08.2022|2|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/kings-hawaiianr-issues-voluntary-recall-pretzel-slider-buns-pretzel-hamburger-buns-and-pretzel-bites||11|16|2022-08-15T07:48:27|36|2022-08-15T07:48:27|36|0|2022-08-15|2022-08-15
24|10|12.08.2022|1|https://kswfoodmicro.com/2022/08/12/rasff-alert-hepatitis-e-seaweed-salad/||13|20|2022-08-15T08:03:19|36|2022-08-15T08:03:19|36|0|2022-08-15|2022-08-15
25|20|||https://webgate.ec.europa.eu/rasff-window/screen/notification/564560||13|21|2022-08-15T08:03:19|36|2022-08-15T08:03:19|36|0|2022-08-15|2022-08-15
26|10|17.07.2022|17|https://www.mdpi.com/2304-8158/11/14/2120||14|22|2022-08-15T08:13:40|84|2022-08-15T08:13:40|84|0|2022-08-15|2022-08-15
27|10|11.08.2022|5|https://www.pagepressjournals.org/index.php/ijfs/article/view/10412||15|23|2022-08-15T08:32:27|84|2022-08-15T08:32:27|84|0|2022-08-15|2022-08-15
