matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,2,1,1,0,2,0,2,3,0,2,3,2,0
3,0,0,0,0,0,0,1,3,0,1,1,0,0
5,1,0,0,0,1,0,0,2,0,0,0,0,0
6,1,0,0,0,0,0,2,8,0,0,2,1,0
8,1,1,0,0,3,1,3,9,0,0,2,2,1
9,5,1,0,0,0,1,1,10,0,1,8,0,0
10,0,0,0,0,3,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,1,0,0,0,0,0
18,4,5,2,1,1,3,7,13,3,1,3,4,1
21,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1,0,0,0,1,0,0,1,0,0,0,0,0
23,1,1,1,0,1,0,3,4,0,0,4,0,0
24,1,0,0,0,1,0,0,1,0,0,0,0,0
26,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,0,0,0,0,0,0,2,0,0,0,0,0
34,0,1,0,0,2,1,1,3,0,1,0,0,0
35,0,0,0,0,1,0,1,0,0,0,0,0,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,1,1,0,0,0,0,1
39,0,0,0,0,0,1,1,0,0,0,0,0,0
42,0,1,0,0,1,0,0,3,0,0,0,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,0,1,0,1,0,0,1,0,0
50,0,0,0,0,0,0,1,1,0,0,0,0,0
54,0,0,0,0,1,0,0,6,0,0,0,1,0
55,0,0,0,0,0,0,0,0,0,0,1,0,0
56,0,0,0,0,0,0,0,3,0,0,0,0,0
58,0,0,0,0,0,0,2,1,0,0,0,1,0
60,4,0,0,0,0,0,0,3,0,0,3,1,0
62,0,0,0,0,0,0,1,0,0,0,1,0,0
79,0,0,0,0,0,0,0,1,0,0,0,0,0
82,2,0,2,0,0,0,0,5,1,0,5,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,0,0,0,0,0,0,1,0,1,0,0,0
98,0,0,0,0,0,0,1,0,0,0,0,1,0
100,0,0,0,0,0,0,0,0,1,0,0,0,0
106,0,0,0,0,1,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,2,1,0,0,1,0
120,0,0,0,0,0,0,0,3,0,0,0,0,0
121,0,0,0,0,0,0,0,1,0,0,0,0,0
123,0,0,0,0,0,0,0,1,0,0,0,0,0
126,0,0,0,0,1,0,0,3,0,0,0,0,0
133,1,0,1,0,1,0,1,0,0,0,2,1,0
