matrix_id,Technological innovations and scientific advances,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Ecology,Economy
1,1,0,0,0,0,1,0,0
3,0,0,1,0,0,0,1,1
8,0,0,0,0,4,0,0,0
18,0,0,0,1,0,1,0,0
23,0,0,0,0,0,0,1,0
24,0,0,0,0,1,0,0,1
27,0,0,0,0,1,0,1,0
34,0,0,1,0,0,0,1,1
38,0,0,0,0,1,0,0,0
42,0,0,0,1,1,0,0,0
54,0,1,0,0,0,0,0,0
60,0,0,0,0,1,0,0,0
82,1,0,0,0,0,0,0,0
98,0,0,1,0,0,0,0,0
